"X","Cancer_type","Pathway","Gene"
87,"BLCA","Purine Metabolism","ABCC4"
88,"BLCA","Purine Metabolism","XDH"
89,"BLCA","Purine Metabolism","ADK"
90,"BLCA","Trehalose Degradation","TREH"
91,"BLCA","Trehalose Degradation","SLC5A1"
92,"BLCA","Trehalose Degradation","SLC2A2"
93,"BLCA","Trehalose Degradation","GCK"
94,"BLCA","Trehalose Degradation","ATP1A1"
95,"BLCA","Trehalose Degradation","ATP1A2"
96,"BLCA","Trehalose Degradation","ATP1A3"
97,"BLCA","Trehalose Degradation","ATP1A4"
98,"BLCA","Trehalose Degradation","ATP1B1"
99,"BLCA","Trehalose Degradation","ATP1B2"
100,"BLCA","Trehalose Degradation","ATP1B3"
101,"BLCA","Trehalose Degradation",""
102,"BLCA","Trehalose Degradation","FXYD2"
103,"BLCA","Caffeine Metabolism","CYP1A2"
104,"BLCA","Caffeine Metabolism","CYP2E1"
105,"BLCA","Caffeine Metabolism","NAT2"
106,"BLCA","Caffeine Metabolism","CYP3A4"
107,"BLCA","Caffeine Metabolism","CYP2C8"
108,"BLCA","Caffeine Metabolism","CYP2C9"
109,"BLCA","Caffeine Metabolism","XDH"
110,"BLCA","Caffeine Metabolism","CYP2A6"
111,"BLCA","Phosphatidylinositol Phosphate Metabolism","CDIPT"
112,"BLCA","Phosphatidylinositol Phosphate Metabolism","SYNJ1"
113,"BLCA","Phosphatidylinositol Phosphate Metabolism","PIK3CA"
114,"BLCA","Phosphatidylinositol Phosphate Metabolism","PIK3R1"
115,"BLCA","Phosphatidylinositol Phosphate Metabolism","PIK3C3"
116,"BLCA","Phosphatidylinositol Phosphate Metabolism","PIK3R4"
117,"BLCA","Phosphatidylinositol Phosphate Metabolism",""
118,"BLCA","Phosphatidylinositol Phosphate Metabolism","AMBRA1"
119,"BLCA","Phosphatidylinositol Phosphate Metabolism","PIKFYVE"
120,"BLCA","Phosphatidylinositol Phosphate Metabolism","FIG4"
121,"BLCA","Phosphatidylinositol Phosphate Metabolism","VAC14"
122,"BLCA","Phosphatidylinositol Phosphate Metabolism","PIP5K1A"
123,"BLCA","Phosphatidylinositol Phosphate Metabolism","INPP4B"
124,"BLCA","Phosphatidylinositol Phosphate Metabolism","PIP4K2A"
125,"BLCA","Phosphatidylinositol Phosphate Metabolism","INPP5D"
126,"BLCA","Phosphatidylinositol Phosphate Metabolism","INPP5E"
127,"BLCA","Phosphatidylinositol Phosphate Metabolism","PI4KA"
128,"BLCA","Phosphatidylinositol Phosphate Metabolism","PIK3C2A"
129,"BLCA","Phosphatidylinositol Phosphate Metabolism","ERBB2"
130,"BLCA","Phosphatidylinositol Phosphate Metabolism",""
131,"BLCA","Phosphatidylinositol Phosphate Metabolism","PIK3CD"
132,"BLCA","Phosphatidylinositol Phosphate Metabolism","PTEN"
133,"BLCA","Phosphatidylinositol Phosphate Metabolism","PLCB1"
134,"BLCA","Nucleotide Excision Repair",""
135,"BLCA","Nucleotide Excision Repair",""
136,"BLCA","Nucleotide Excision Repair","ERCC2"
137,"BLCA","Nucleotide Excision Repair",""
138,"BLCA","Nucleotide Excision Repair",""
139,"BLCA","Nucleotide Excision Repair","POLR1A"
140,"BLCA","Nucleotide Excision Repair",""
141,"BLCA","Nucleotide Excision Repair","ERCC4"
142,"BLCA","Nucleotide Excision Repair","PAPD7"
143,"BLCA","Nucleotide Excision Repair","POLE"
144,"BLCA","Nucleotide Excision Repair","LIG1"
145,"BLCA","Warburg Effect","SLC2A2"
146,"BLCA","Warburg Effect","HK2"
147,"BLCA","Warburg Effect","GPI"
148,"BLCA","Warburg Effect","PFKL"
149,"BLCA","Warburg Effect","ALDOB"
150,"BLCA","Warburg Effect","GAPDH"
151,"BLCA","Warburg Effect","PGK1"
152,"BLCA","Warburg Effect","PGAM2"
153,"BLCA","Warburg Effect","ENO1"
154,"BLCA","Warburg Effect","PKLR"
155,"BLCA","Warburg Effect","MPC1"
156,"BLCA","Warburg Effect","PC"
157,"BLCA","Warburg Effect","PDHA1"
158,"BLCA","Warburg Effect","PDHB"
159,"BLCA","Warburg Effect","DLAT"
160,"BLCA","Warburg Effect","DLD"
161,"BLCA","Warburg Effect","CS"
162,"BLCA","Warburg Effect","LDHAL6A"
163,"BLCA","Warburg Effect","SLC16A1"
164,"BLCA","Warburg Effect","ACO2"
165,"BLCA","Warburg Effect","IDH3A"
166,"BLCA","Warburg Effect","IDH3B"
167,"BLCA","Warburg Effect","IDH3G"
168,"BLCA","Warburg Effect","OGDH"
169,"BLCA","Warburg Effect","DLST"
170,"BLCA","Warburg Effect","SUCLG1"
171,"BLCA","Warburg Effect","SUCLG2"
172,"BLCA","Warburg Effect","SDHA"
173,"BLCA","Warburg Effect","SDHB"
174,"BLCA","Warburg Effect","SDHC"
175,"BLCA","Warburg Effect","SDHD"
176,"BLCA","Warburg Effect","FH"
177,"BLCA","Warburg Effect","MDH1"
178,"BLCA","Warburg Effect","GLUD1"
179,"BLCA","Warburg Effect","GLS2"
180,"BLCA","Warburg Effect","SLC1A5"
181,"BLCA","Warburg Effect","TALDO1"
182,"BLCA","Warburg Effect","TKT"
183,"BLCA","Warburg Effect","RPIA"
184,"BLCA","Warburg Effect","PGLS"
185,"BLCA","Warburg Effect","G6PD"
186,"BLCA","Warburg Effect","PGD"
187,"BLCA","Warburg Effect",""
188,"BLCA","Warburg Effect","ACO1"
189,"BLCA","Warburg Effect","IDH1"
190,"BLCA","Warburg Effect","PKM"
191,"BLCA","Glutamate Metabolism","PIG59"
192,"BLCA","Glutamate Metabolism","GLS2"
193,"BLCA","Glutamate Metabolism","GFPT1"
194,"BLCA","Glutamate Metabolism","GNPNAT1"
195,"BLCA","Glutamate Metabolism","NAGK"
196,"BLCA","Glutamate Metabolism","CAD"
197,"BLCA","Glutamate Metabolism","CPS1"
198,"BLCA","Glutamate Metabolism","PPAT"
199,"BLCA","Glutamate Metabolism","GMPS"
200,"BLCA","Glutamate Metabolism","NADSYN1"
201,"BLCA","Glutamate Metabolism","ALDH4A1"
202,"BLCA","Glutamate Metabolism","GPT"
203,"BLCA","Glutamate Metabolism","GLUD1"
204,"BLCA","Glutamate Metabolism","GOT2"
205,"BLCA","Glutamate Metabolism","EARS2"
206,"BLCA","Glutamate Metabolism","GCLC"
207,"BLCA","Glutamate Metabolism","GCLM"
208,"BLCA","Glutamate Metabolism","GSS"
209,"BLCA","Glutamate Metabolism","GSR"
210,"BLCA","Glutamate Metabolism","GAD1"
211,"BLCA","Glutamate Metabolism","ABAT"
212,"BLCA","Glutamate Metabolism","ALDH5A1"
213,"BLCA","Glutamate Metabolism","QARS"
214,"BLCA","Inositol Metabolism","ISYNA1"
215,"BLCA","Inositol Metabolism","IPMK"
216,"BLCA","Inositol Metabolism","ITPK1"
217,"BLCA","Inositol Metabolism","IPPK"
218,"BLCA","Inositol Metabolism","MINPP1"
219,"BLCA","Inositol Metabolism","ITPKA"
220,"BLCA","Inositol Metabolism","INPP5J"
221,"BLCA","Inositol Metabolism","INPP1"
222,"BLCA","Inositol Metabolism","IMPA1"
223,"BLCA","Inositol Metabolism","MIOX"
224,"BLCA","Inositol Metabolism","INPP4A"
225,"BLCA","Inositol Metabolism","PLCD3"
226,"BLCA","Inositol Metabolism","PIKFYVE"
227,"BLCA","Inositol Metabolism","FIG4"
228,"BLCA","Inositol Metabolism","VAC14"
229,"BLCA","Inositol Metabolism","PI4KA"
230,"BLCA","Inositol Metabolism","PIK3C3"
231,"BLCA","Inositol Metabolism","PIK3R4"
232,"BLCA","Inositol Metabolism",""
233,"BLCA","Inositol Metabolism","AMBRA1"
234,"BLCA","Inositol Metabolism","PIK3CA"
235,"BLCA","Inositol Metabolism","PTPMT1"
236,"BLCA","Mitochondrial Electron Transport Chain","SLC37A4"
237,"BLCA","Mitochondrial Electron Transport Chain","SLC25A4"
238,"BLCA","Mitochondrial Electron Transport Chain","ATP5G2"
239,"BLCA","Mitochondrial Electron Transport Chain","ATP5A1"
240,"BLCA","Mitochondrial Electron Transport Chain","ATP5E"
241,"BLCA","Mitochondrial Electron Transport Chain","ATP5B"
242,"BLCA","Mitochondrial Electron Transport Chain","ATP5F1"
243,"BLCA","Mitochondrial Electron Transport Chain","ATP5D"
244,"BLCA","Mitochondrial Electron Transport Chain","ATP5C1"
245,"BLCA","Mitochondrial Electron Transport Chain","MT-ATP6"
246,"BLCA","Mitochondrial Electron Transport Chain","GPD2"
247,"BLCA","Mitochondrial Electron Transport Chain","NDUFA1"
248,"BLCA","Mitochondrial Electron Transport Chain","SDHA"
249,"BLCA","Mitochondrial Electron Transport Chain","SDHB"
250,"BLCA","Mitochondrial Electron Transport Chain","SDHC"
251,"BLCA","Mitochondrial Electron Transport Chain","SDHD"
252,"BLCA","Mitochondrial Electron Transport Chain","CYCS"
253,"BLCA","Mitochondrial Electron Transport Chain","UQCRC1"
254,"BLCA","Mitochondrial Electron Transport Chain","MT-CO1"
255,"BLCA","Mitochondrial Electron Transport Chain","GPD1"
256,"BLCA","Mitochondrial Electron Transport Chain","GAPDH"
257,"BRCA","Retinol Metabolism","ADH1A"
258,"BRCA","Retinol Metabolism","RDH12"
259,"BRCA","Retinol Metabolism","DHRS4"
260,"BRCA","Retinol Metabolism","RDH16"
261,"BRCA","Retinol Metabolism","RDH8"
262,"BRCA","Retinol Metabolism","DHRS3"
263,"BRCA","Retinol Metabolism","DHRS9"
264,"BRCA","Retinol Metabolism","RDH11"
265,"BRCA","Retinol Metabolism","LRAT"
266,"BRCA","Retinol Metabolism","AWAT1"
267,"BRCA","Retinol Metabolism","DGAT1"
268,"BRCA","Retinol Metabolism","RPE65"
269,"BRCA","Retinol Metabolism","PNPLA4"
270,"BRCA","Retinol Metabolism","BCMO1"
271,"BRCA","Retinol Metabolism","ALDH1A1"
272,"BRCA","Retinol Metabolism","ALDH1A2"
273,"BRCA","Retinol Metabolism","CYP26A1"
274,"BRCA","Retinol Metabolism","RETSAT"
275,"BRCA","Retinol Metabolism","DNAJB11"
276,"BRCA","Retinol Metabolism","HSP90B1 "
277,"BRCA","Retinol Metabolism","HSPA5"
278,"BRCA","Retinol Metabolism","HYOU1 "
279,"BRCA","Retinol Metabolism","PDIA2"
280,"BRCA","Retinol Metabolism","PDIA4"
281,"BRCA","Retinol Metabolism","PDIA6"
282,"BRCA","Retinol Metabolism","PPIB"
283,"BRCA","Retinol Metabolism","SDF2L1"
284,"BRCA","Retinol Metabolism","UGT1A1"
285,"BRCA","Retinol Metabolism","ERP29"
286,"BRCA","Retinol Metabolism","CYP2A6"
287,"BRCA","Retinol Metabolism","CYP2A7"
288,"BRCA","Retinol Metabolism","CYP2A13"
289,"BRCA","Retinol Metabolism","CYP2B6"
290,"BRCA","Retinol Metabolism","CYP3A7"
291,"BRCA","Retinol Metabolism","CYP3A4"
292,"BRCA","Retinol Metabolism","CYP3A5"
293,"BRCA","Retinol Metabolism","CYP3A43"
294,"BRCA","Trehalose Degradation","TREH"
295,"BRCA","Trehalose Degradation","SLC5A1"
296,"BRCA","Trehalose Degradation","SLC2A2"
297,"BRCA","Trehalose Degradation","GCK"
298,"BRCA","Trehalose Degradation","ATP1A1"
299,"BRCA","Trehalose Degradation","ATP1A2"
300,"BRCA","Trehalose Degradation","ATP1A3"
301,"BRCA","Trehalose Degradation","ATP1A4"
302,"BRCA","Trehalose Degradation","ATP1B1"
303,"BRCA","Trehalose Degradation","ATP1B2"
304,"BRCA","Trehalose Degradation","ATP1B3"
305,"BRCA","Trehalose Degradation",""
306,"BRCA","Trehalose Degradation","FXYD2"
307,"BRCA","Arginine and Proline Metabolism","ASS1"
308,"BRCA","Arginine and Proline Metabolism","ASL"
309,"BRCA","Arginine and Proline Metabolism","CPS1"
310,"BRCA","Arginine and Proline Metabolism","GLUD1"
311,"BRCA","Arginine and Proline Metabolism","OAT"
312,"BRCA","Arginine and Proline Metabolism","ALDH4A1"
313,"BRCA","Arginine and Proline Metabolism","PRODH"
314,"BRCA","Arginine and Proline Metabolism","PYCR2"
315,"BRCA","Arginine and Proline Metabolism","P4HA3"
316,"BRCA","Arginine and Proline Metabolism","RARS2"
317,"BRCA","Arginine and Proline Metabolism","GATM"
318,"BRCA","Arginine and Proline Metabolism","GAMT"
319,"BRCA","Arginine and Proline Metabolism","CKB"
320,"BRCA","Arginine and Proline Metabolism","ARG1"
321,"BRCA","Arginine and Proline Metabolism","OTC"
322,"BRCA","Arginine and Proline Metabolism","SLC25A15"
323,"BRCA","Arginine and Proline Metabolism","DAO"
324,"BRCA","Arginine and Proline Metabolism","GOT1"
325,"BRCA","Arginine and Proline Metabolism","NOS1"
326,"BRCA","Arginine and Proline Metabolism","EPRS"
327,"BRCA","Purine Metabolism","NUDT2"
328,"BRCA","Purine Metabolism","NME6"
329,"BRCA","Purine Metabolism","ENTPD5"
330,"BRCA","Purine Metabolism","ENTPD8"
331,"BRCA","Purine Metabolism","GUK1"
332,"BRCA","Purine Metabolism","NT5C2"
333,"BRCA","Purine Metabolism","DGUOK"
334,"BRCA","Purine Metabolism","APRT"
335,"BRCA","Purine Metabolism","PNP"
336,"BRCA","Purine Metabolism","HPRT1"
337,"BRCA","Purine Metabolism","GDA"
338,"BRCA","Purine Metabolism","NUDT5"
339,"BRCA","Purine Metabolism","PRPS1L1"
340,"BRCA","Purine Metabolism","PPAT"
341,"BRCA","Purine Metabolism","GART"
342,"BRCA","Purine Metabolism","PFAS"
343,"BRCA","Purine Metabolism","PAICS"
344,"BRCA","Purine Metabolism","ADSL"
345,"BRCA","Purine Metabolism","ATIC"
346,"BRCA","Purine Metabolism","ITPA"
347,"BRCA","Purine Metabolism","GMPS"
348,"BRCA","Purine Metabolism","IMPDH1"
349,"BRCA","Purine Metabolism","GMPR"
350,"BRCA","Purine Metabolism","XDH"
351,"BRCA","Purine Metabolism","ADSS"
352,"BRCA","Purine Metabolism","AMPD1"
353,"BRCA","Purine Metabolism","ADA"
354,"BRCA","Purine Metabolism","AK1"
355,"BRCA","Purine Metabolism","ATAD1"
356,"BRCA","Purine Metabolism","PDE4D"
357,"BRCA","Purine Metabolism","ADCY10"
358,"BRCA","Purine Metabolism","GUCY1A2"
359,"BRCA","Purine Metabolism","GUCY1B3"
360,"BRCA","Purine Metabolism","PDE10A"
361,"BRCA","Purine Metabolism","TXN"
362,"BRCA","Purine Metabolism","RRM1"
363,"BRCA","Purine Metabolism","RRM2"
364,"BRCA","Purine Metabolism","HPRT1"
365,"BRCA","Purine Metabolism","IMPDH1"
366,"BRCA","Purine Metabolism","GMPS"
367,"BRCA","Purine Metabolism","TPMT"
368,"BRCA","Purine Metabolism","RAC1"
369,"BRCA","Purine Metabolism","AOX1"
370,"BRCA","Purine Metabolism","PPAT"
371,"BRCA","Purine Metabolism","SLC29A2"
372,"BRCA","Purine Metabolism","SLC28A3"
373,"BRCA","Purine Metabolism","SLC29A1"
374,"BRCA","Purine Metabolism","SLC28A2"
375,"BRCA","Purine Metabolism","ABCC5"
376,"BRCA","Purine Metabolism","ABCC4"
377,"BRCA","Purine Metabolism","XDH"
378,"BRCA","Purine Metabolism","ADK"
379,"BRCA","Phosphatidylinositol Phosphate Metabolism","CDIPT"
380,"BRCA","Phosphatidylinositol Phosphate Metabolism","SYNJ1"
381,"BRCA","Phosphatidylinositol Phosphate Metabolism","PIK3CA"
382,"BRCA","Phosphatidylinositol Phosphate Metabolism","PIK3R1"
383,"BRCA","Phosphatidylinositol Phosphate Metabolism","PIK3C3"
384,"BRCA","Phosphatidylinositol Phosphate Metabolism","PIK3R4"
385,"BRCA","Phosphatidylinositol Phosphate Metabolism",""
386,"BRCA","Phosphatidylinositol Phosphate Metabolism","AMBRA1"
387,"BRCA","Phosphatidylinositol Phosphate Metabolism","PIKFYVE"
388,"BRCA","Phosphatidylinositol Phosphate Metabolism","FIG4"
389,"BRCA","Phosphatidylinositol Phosphate Metabolism","VAC14"
390,"BRCA","Phosphatidylinositol Phosphate Metabolism","PIP5K1A"
391,"BRCA","Phosphatidylinositol Phosphate Metabolism","INPP4B"
392,"BRCA","Phosphatidylinositol Phosphate Metabolism","PIP4K2A"
393,"BRCA","Phosphatidylinositol Phosphate Metabolism","INPP5D"
394,"BRCA","Phosphatidylinositol Phosphate Metabolism","INPP5E"
395,"BRCA","Phosphatidylinositol Phosphate Metabolism","PI4KA"
396,"BRCA","Phosphatidylinositol Phosphate Metabolism","PIK3C2A"
397,"BRCA","Phosphatidylinositol Phosphate Metabolism","ERBB2"
398,"BRCA","Phosphatidylinositol Phosphate Metabolism",""
399,"BRCA","Phosphatidylinositol Phosphate Metabolism","PIK3CD"
400,"BRCA","Phosphatidylinositol Phosphate Metabolism","PTEN"
401,"BRCA","Phosphatidylinositol Phosphate Metabolism","PLCB1"
402,"BRCA","Starch and Sucrose Metabolism","HK2"
403,"BRCA","Starch and Sucrose Metabolism","GPI"
404,"BRCA","Starch and Sucrose Metabolism","GCK"
405,"BRCA","Starch and Sucrose Metabolism","SI"
406,"BRCA","Starch and Sucrose Metabolism","PGM1"
407,"BRCA","Starch and Sucrose Metabolism","PGM2L1"
408,"BRCA","Starch and Sucrose Metabolism","UGP2"
409,"BRCA","Starch and Sucrose Metabolism","GYS2"
410,"BRCA","Starch and Sucrose Metabolism","GBE1"
411,"BRCA","Starch and Sucrose Metabolism","MGAM"
412,"BRCA","Starch and Sucrose Metabolism","AMY1A"
413,"BRCA","Starch and Sucrose Metabolism","AGL"
414,"BRCA","Starch and Sucrose Metabolism","UGDH"
415,"BRCA","Starch and Sucrose Metabolism","PYGL"
416,"BRCA","Starch and Sucrose Metabolism","UGT2B11"
417,"BRCA","Starch and Sucrose Metabolism","GUSB"
418,"BRCA","Inositol Metabolism","ISYNA1"
419,"BRCA","Inositol Metabolism","IPMK"
420,"BRCA","Inositol Metabolism","ITPK1"
421,"BRCA","Inositol Metabolism","IPPK"
422,"BRCA","Inositol Metabolism","MINPP1"
423,"BRCA","Inositol Metabolism","ITPKA"
424,"BRCA","Inositol Metabolism","INPP5J"
425,"BRCA","Inositol Metabolism","INPP1"
426,"BRCA","Inositol Metabolism","IMPA1"
427,"BRCA","Inositol Metabolism","MIOX"
428,"BRCA","Inositol Metabolism","INPP4A"
429,"BRCA","Inositol Metabolism","PLCD3"
430,"BRCA","Inositol Metabolism","PIKFYVE"
431,"BRCA","Inositol Metabolism","FIG4"
432,"BRCA","Inositol Metabolism","VAC14"
433,"BRCA","Inositol Metabolism","PI4KA"
434,"BRCA","Inositol Metabolism","PIK3C3"
435,"BRCA","Inositol Metabolism","PIK3R4"
436,"BRCA","Inositol Metabolism",""
437,"BRCA","Inositol Metabolism","AMBRA1"
438,"BRCA","Inositol Metabolism","PIK3CA"
439,"BRCA","Inositol Metabolism","PTPMT1"
440,"BRCA","Nucleotide Excision Repair",""
441,"BRCA","Nucleotide Excision Repair",""
442,"BRCA","Nucleotide Excision Repair","ERCC2"
443,"BRCA","Nucleotide Excision Repair",""
444,"BRCA","Nucleotide Excision Repair",""
445,"BRCA","Nucleotide Excision Repair","POLR1A"
446,"BRCA","Nucleotide Excision Repair",""
447,"BRCA","Nucleotide Excision Repair","ERCC4"
448,"BRCA","Nucleotide Excision Repair","PAPD7"
449,"BRCA","Nucleotide Excision Repair","POLE"
450,"BRCA","Nucleotide Excision Repair","LIG1"
451,"BRCA","Thyroid Hormone Synthesis","SLC5A5"
452,"BRCA","Thyroid Hormone Synthesis","SLC26A4 "
453,"BRCA","Thyroid Hormone Synthesis","TG"
454,"BRCA","Thyroid Hormone Synthesis","TPO"
455,"BRCA","Thyroid Hormone Synthesis","CYBB"
456,"BRCA","Thyroid Hormone Synthesis","NOX3"
457,"BRCA","Thyroid Hormone Synthesis","CYBA"
458,"BRCA","Thyroid Hormone Synthesis","DUOX1"
459,"BRCA","Thyroid Hormone Synthesis","DUOX2"
460,"BRCA","Thyroid Hormone Synthesis","NOX4"
461,"BRCA","Pyrimidine Metabolism","CAD"
462,"BRCA","Pyrimidine Metabolism","DHODH"
463,"BRCA","Pyrimidine Metabolism","UMPS "
464,"BRCA","Pyrimidine Metabolism","CANT1"
465,"BRCA","Pyrimidine Metabolism","CMPK2"
466,"BRCA","Pyrimidine Metabolism","NME6"
467,"BRCA","Pyrimidine Metabolism","AK3"
468,"BRCA","Pyrimidine Metabolism","ITPA"
469,"BRCA","Pyrimidine Metabolism","CTPS1"
470,"BRCA","Pyrimidine Metabolism","NT5C2"
471,"BRCA","Pyrimidine Metabolism","GDA"
472,"BRCA","Pyrimidine Metabolism","UPP2"
473,"BRCA","Pyrimidine Metabolism","DPYD"
474,"BRCA","Pyrimidine Metabolism","DPYS"
475,"BRCA","Pyrimidine Metabolism","UPB1"
476,"BRCA","Pyrimidine Metabolism","RRM2"
477,"BRCA","Pyrimidine Metabolism","RRM2B"
478,"BRCA","Pyrimidine Metabolism","UCKL1"
479,"BRCA","Pyrimidine Metabolism","CDA"
480,"BRCA","Pyrimidine Metabolism","TYMP"
481,"BRCA","Pyrimidine Metabolism","DCTD"
482,"BRCA","Pyrimidine Metabolism","TK1"
483,"BRCA","Pyrimidine Metabolism","TYMS"
484,"BRCA","Pyrimidine Metabolism","DUT"
485,"BRCA","Degradation of Superoxides","SOD3"
486,"BRCA","Degradation of Superoxides","SOD1"
487,"BRCA","Degradation of Superoxides","SOD2"
488,"BRCA","Degradation of Superoxides","CAT"
489,"BRCA","Degradation of Superoxides","TYRP1"
490,"CESC","Ethanol Degradation","ADH1B"
491,"CESC","Ethanol Degradation","ALDH2"
492,"CESC","Ethanol Degradation","CYP2E1"
493,"CESC","Ethanol Degradation","CAT"
494,"CESC","Ethanol Degradation","ACSS2"
495,"CESC","Ethanol Degradation","ACSS1"
496,"CESC","Ethanol Degradation","ALDH1B1"
497,"CESC","Purine Metabolism","NUDT2"
498,"CESC","Purine Metabolism","NME6"
499,"CESC","Purine Metabolism","ENTPD5"
500,"CESC","Purine Metabolism","ENTPD8"
501,"CESC","Purine Metabolism","GUK1"
502,"CESC","Purine Metabolism","NT5C2"
503,"CESC","Purine Metabolism","DGUOK"
504,"CESC","Purine Metabolism","APRT"
505,"CESC","Purine Metabolism","PNP"
506,"CESC","Purine Metabolism","HPRT1"
507,"CESC","Purine Metabolism","GDA"
508,"CESC","Purine Metabolism","NUDT5"
509,"CESC","Purine Metabolism","PRPS1L1"
510,"CESC","Purine Metabolism","PPAT"
511,"CESC","Purine Metabolism","GART"
512,"CESC","Purine Metabolism","PFAS"
513,"CESC","Purine Metabolism","PAICS"
514,"CESC","Purine Metabolism","ADSL"
515,"CESC","Purine Metabolism","ATIC"
516,"CESC","Purine Metabolism","ITPA"
517,"CESC","Purine Metabolism","GMPS"
518,"CESC","Purine Metabolism","IMPDH1"
519,"CESC","Purine Metabolism","GMPR"
520,"CESC","Purine Metabolism","XDH"
521,"CESC","Purine Metabolism","ADSS"
522,"CESC","Purine Metabolism","AMPD1"
523,"CESC","Purine Metabolism","ADA"
524,"CESC","Purine Metabolism","AK1"
525,"CESC","Purine Metabolism","ATAD1"
526,"CESC","Purine Metabolism","PDE4D"
527,"CESC","Purine Metabolism","ADCY10"
528,"CESC","Purine Metabolism","GUCY1A2"
529,"CESC","Purine Metabolism","GUCY1B3"
530,"CESC","Purine Metabolism","PDE10A"
531,"CESC","Purine Metabolism","TXN"
532,"CESC","Purine Metabolism","RRM1"
533,"CESC","Purine Metabolism","RRM2"
534,"CESC","Purine Metabolism","HPRT1"
535,"CESC","Purine Metabolism","IMPDH1"
536,"CESC","Purine Metabolism","GMPS"
537,"CESC","Purine Metabolism","TPMT"
