"Pathway","Genes","Category"
"Citrate cycle (TCA cycle)","UGT2B28,UGT1A6,UGT1A4,UGT1A1,UGT1A3,UGT2B10,UGT1A9,UGT2B7,UGT1A10,UGT1A8,UGT1A5,UGT2B15,UGT1A7,UGT2B4,UGT2A2,UGDH,UGP2,AKR1A1,CRYL1,RPE,RPEL1,XYLB,AKR1B1,AKR1B10,AKR1B15,DCXR,SORD,DHDH,FGGY,CRPPA,MPI,PMM2,PMM1,GMPPB,GMPPA,GMDS,GFUS,FPGT,FCSK,ENOSF1,HK3,HK1,HK2,HKDC1,PFKM,PFKP,PFKL,FBP1,FBP2,PFKFB1,PFKFB2,PFKFB3,PFKFB4,TIGAR,KHK,SORD,AKR1B1,AKR1B10,AKR1B15,ALDOC","KEGG"
"Cysteine and methionine metabolism","MBOAT2,PLPP1,PLPP3,PLPP2,LPIN1,LPIN3,LPIN2,PLPP5,PLPP4,DGKZ,DGKD,DGKI,DGKA,DGKE,DGKB,DGKH,DGKG,DGKQ,DGKK,DGAT1,DGAT2,MOGAT3,CEL,PNPLA2,PNPLA3,PNLIP,PNLIPRP1,PNLIPRP2,PNLIPRP3,LIPC,LIPF,LIPG,LPL,AGK,MGLL,ABHD16A,MOGAT1,MOGAT2,GLA,PIK3C3,MTM1,MTMR1,MTMR2,MTMR3,MTMR4,MTMR8,MTMR6,MTMR7,MTMR14,PI4KA,PI4KB,PI4K2A,PI4K2B,SACM1L,INPP5F,PIP5K1C,PIP5K1A,PIP5K1B,PIP5KL1,OCRL,INPP5B,INPP5E,SYNJ1,SYNJ2,PIK3CA,PIK3CD,PIK3CB,PIK3CG,PTEN,INPP5D,INPPL1,PIK3C2G,PIK3C2A,PIK3C2B,INPP4A,INPP4B,PIKFYVE,FIG4,PIP4K2C,PIP4K2A,PIP4K2B,PLCB1,PLCB2,PLCB3,PLCB4,PLCD1,PLCD3,PLCD4,PLCE1,PLCG1,PLCG2,PLCZ1,PLCH1,PLCH2,IMPA2,IMPA1,CDIPT,ISYNA1,INPP1,INPP5A,INPP5K,INPP5J,MINPP1,ITPKB","KEGG"
"D-Amino acid metabolism","DHRS4,DHRS4L2,DHRS9,RDH8,RDH10,RDH11,RDH12,RDH13,RDH16,SDR16C5,HSD17B6,LRAT","KEGG"
"Drug metabolism - cytochrome P450","BPNT1,BPNT2,SUOX,SQOR,ETHE1,MPST,TST,SELENBP1,TRNA,TRNR,TRNN,TRND,TRNC,TRNQ,TRNE,TRNG,TRNH,TRNI,TRNL2,TRNL1,TRNK,TRNM,TRNF,TRNP,TRNS2,TRNS1,TRNT,TRNW,TRNY,TRNV,EARS2,EPRS1,QRSL1,GATB,GATC,QARS1,AARS2,AARS1,DARS1,DARS2,NARS2,NARS1,GARS1,TARS2,TARS1,TARS3,SARS2,SARS1,PSTK,SEPSECS,CARS1,CARS2,MARS1,MARS2,MTFMT,VARS2,VARS1,LARS1,LARS2,IARS1,IARS2,KARS1,RARS2,RARS1,PARS2,HARS1,HARS2,FARSA,FARS2,FARSB,YARS1,YARS2,WARS2,WARS1,CYP1A1,CYP2C9,CYP3A4,CYP1B1,GSTA5,GSTA2,GSTA4,GSTO2,GSTM4,GSTT2,GSTT1,GSTM3,MGST1,MGST3,GSTM1,GSTM5,MGST2,GSTA1,GSTM2,GSTA3,GSTO1,GSTT2B,GSTP1,GSTK1,HPGDS,EPHX1,CYP2B6,SULT2A1,CYP1A2,CYP2A6,CYP2A7,CYP2E1,CYP2F1,CYP2S1,AKR1C1,DHDH,CYP2A13,CYP2D6,cytochromeP4502D6_like[KO:K17712][EC:1.14.14.1],CYP2D7,CYP2D6,HSD11B1,HSD11B1L,CBR1,CBR3,UGT2A1,UGT2A3,UGT2B17,UGT2B11,UGT2B28,UGT1A6,UGT1A4,UGT1A1,UGT1A3,UGT2B10,UGT1A9,UGT2B7,UGT1A10,UGT1A8,UGT1A5,UGT2B15,UGT1A7,UGT2B4,UGT2A2,CYP3A5,AKR7A2,AKR7A3,AKR7L,ALDH3B1,ALDH3B2","KEGG"
"Drug metabolism - other enzymes","ALDH3A1,ADH1A,ADH1B,ADH1C,ADH7,ADH4,ADH5,ADH6,CYP2D6,cytochromeP4502D6_like[KO:K17712][EC:1.14.14.1],CYP2D7,CYP2D6,CYP2C9,CYP3A4,FMO1,FMO2,FMO5,FMO3,FMO4,CYP2C19,CYP2B6,CYP3A5,GSTA5,GSTA2,GSTA4,GSTO2,GSTM4,GSTT2,GSTT1,GSTM3,MGST1,MGST3,GSTM1,GSTM5,MGST2,GSTA1,GSTM2,GSTA3,GSTO1,GSTT2B,GSTP1,GSTK1,HPGDS,ADH1A,ADH1B,ADH1C,ADH7,ADH4,ADH5,ADH6,ALDH3B1,ALDH3B2,ALDH3A1,MAOB,MAOA,AOX1,UGT2A1,UGT2A3,UGT2B17,UGT2B11,UGT2B28,UGT1A6,UGT1A4,UGT1A1,UGT1A3,UGT2B10,UGT1A9,UGT2B7,UGT1A10,UGT1A8,UGT1A5,UGT2B15,UGT1A7,UGT2B4,UGT2A2,CYP1A2,CYP2E1,CYP2C8,CYP2A6,CYP2A7,HPRT1,IMPDH1,IMPDH2,GMPS,TPMT,XDH,ITPA,CES1,CES2,UGT2A1,UGT2A3,UGT2B17,UGT2B11,UGT2B28,UGT1A6,UGT1A4,UGT1A1,UGT1A3,UGT2B10,UGT1A9,UGT2B7,UGT1A10,UGT1A8,UGT1A5,UGT2B15,UGT1A7,UGT2B4,UGT2A2,GUSB,CYP3A4,CDA,TYMP,DPYD,DPYS,UPB1,CYP2A6,CYP2A7,UPP2,UPP1,UCK1,UCK2,UCKL1,TK2,TK1,UMPS,CMPK1,RRM1,RRM2B,RRM2,NME6,NME7,NME2,NME4,NME1,NME3,NME1_NME2,DUT,MPO,NAT2,NAT1,CYP2E1,GSTA5,GSTA2,GSTA4,GSTO2,GSTM4,GSTT2,GSTT1,GSTM3,MGST1,MGST3,GSTM1,GSTM5,MGST2,GSTA1,GSTM2,GSTA3,GSTO1,GSTT2B,GSTP1","KEGG"
"Ether lipid metabolism","HMGCL,HMGCLL1,OXCT1,OXCT2,AACS,ACAT2,ACAT1,HMGCS1,HMGCS2,SDS,SDSL,BCAT2,BCAT1,AASS,ALDH7A1,AADAT,DHTKD1,DLST,DLD,GCDH,HADHA,EHHADH,ECHS1,HADH,ACAT2,ACAT1,HYKK,PHYKPL,PIPOX,CAMKMT,KMT2A,KMT2D,KMT2C,KMT2B,KMT2E,SETD1B,SETD1A,SETD7,PRDM9,PRDM7,ASH1L,SMYD2,SMYD3,SMYD1,SUV39H1,SUV39H2,EHMT2,EHMT1,SETDB1,SETDB2,PRDM2,EZH1,EZH2,SETMAR,NSD1,NSD2,NSD3,SETD2,DOT1L,KMT5A,PRDM6,KMT5C,KMT5B,MECOM,PRDM16,TMLHE,ALDH2,ALDH3A2,ALDH1B1,ALDH9A1,BBOX1,PLOD1,PLOD2,PLOD3,COLGALT1,COLGALT2,GATM,GAMT,CKM,CKMT1A,CKMT2,CKB,CKMT1B,AZIN2,ODC1,SRM,SMS,AMD1,AOC1,SMOX,ALDH2,ALDH3A2,ALDH1B1,ALDH7A1,ALDH9A1,CNDP1,CNDP2,CARNS1,SAT2,SAT1","KEGG"
"Fatty acid biosynthesis","COX10,COX3,COX1,COX2,COX4I2,COX4I1,COX5A,COX5B,COX6A1,COX6A2,COX6B1,COX6B2,COX6C,COX7A1,COX7A2,COX7A2L,COX7B,COX7B2,COX7C,COX8C,COX8A,COX11,COX15,COX17,CYCS,ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1D,ATP5F1E,ATP5PO,ATP6,ATP5PB,ATP5MC1,ATP5MC2,ATP5MC3","KEGG"
"Fatty acid degradation","GPT,NAGS,ACY1,ABHD14A_ACY1,NUDT9,ADPRM,NUDT5,PGM1,PGM2,PRPS1L1,PRPS2,PRPS1,PPAT,GART,PFAS,PAICS,ADSL,ATIC,APRT,NT5C2,NT5C1A,NT5C1B,NT5C,NT5M,NT5C1B_RDH14,NT5DC4,NT5E,PNP,LACC1,HPRT1,IMPDH1,IMPDH2,NME6,NME7,NME2,NME4,NME1,NME3,NME1_NME2,AK9,ENTPD3,ENTPD8,ENTPD1,CANT1,ENTPD4,ENTPD5,ENTPD6,NUDT16,ITPA,XDH,NUDT2,GMPS,GMPR,GMPR2,GDA,GUK1,RRM1,RRM2B,RRM2,HDDC2,DGUOK,DCK,HDDC3,PRUNE1,ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY10,GUCY1A2,GUCY1A1,GUCY1B1,GUCY2C,GUCY2D,GUCY2F,NPR1,NPR2,PDE1A,PDE1B,PDE1C,PDE2A","KEGG"
"Fatty acid elongation","ATP5PD,ATP5ME,ATP5MF,ATP5MG,ATP5PF,ATP8,ATP6V1A,ATP6V1B1,ATP6V1B2,ATP6V1C2,ATP6V1C1,ATP6V1D,ATP6V1E2,ATP6V1E1,ATP6V1F,ATP6V1G1,ATP6V1G3,ATP6V1G2,ATP6V1H,TCIRG1,ATP6V0A2,ATP6V0A4,ATP6V0A1,ATP6V0C,ATP6V0B,ATP6V0D1,ATP6V0D2,ATP6V0E1,ATP6V0E2,ATP6AP1,ATP4A,ATP4B,ATP12A,PPA2,PPA1,LHPP,OTC,ASS1,ASL,ARG2,ARG1,NOS1,NOS2,NOS3,GLS2,GLS,GLUL,GLUD2,GLUD1,CPS1,GOT1,GOT1L1,GOT2,GPT2","KEGG"
"Folate biosynthesis","PLA2G4E,PLA2G4A,JMJD7_PLA2G4B,PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4F,PLA2G6,PLB1,PLAAT3,PLAAT2,PTGS1,PTGS2,PTGES,PTGES2,PTGES3,CBR1,CBR3,PRXL2B,HPGD,TBXAS1,PTGDS,HPGDS,AKR1C3,PTGIS,ALOX5,LTA4H,PTGR3,PTGR2,PTGR1,CYP4F2,CYP4F3,LTC4S,GGT1,GGT5,GPX4,CYP2E1,CYP2J2,CYP2U1,CYP2C19,CYP4F8,ALOX12,ALOXE3,ALOX12B,ALOX15B,CYP2B6,CYP2C8,CYP2C9,EPHX2,ALOX15,PLA2G10,PLA2G2D,PLA2G2E,PLA2G3","KEGG"
"Fructose and mannose metabolism","ACSBG2,CPT1A,CPT1B,CPT1C,CPT2,ECI1,ECI2,CYP2U1,ADH1A,ADH1B,ADH1C,ADH7,ADH4,ADH5,ADH6,ALDH2,ALDH3A2,ALDH1B1,ALDH7A1,ALDH9A1,FDFT1,SQLE,LSS,CYP51A1,TM7SF2,LBR,MSMO1,NSDHL,HSD17B7,EBP,DHCR24,SC5D,DHCR7,LIPA,CEL,SOAT2,SOAT1,CYP2R1,CYP27B1,CYP24A1,CYP46A1,CYP39A1,HSD3B7,CH25H,CYP7B1,CYP7A1,CYP27A1,CYP8B1,AKR1D1,AKR1C4,SLC27A5,AMACR,ACOX2,HSD17B4,SCP2,ACOT8,BAAT,TAT,COQ2,COQ6,COQ3,COQ5,COQ7,NQO1,GGCX,VKORC1,VKORC1L1,HPD","KEGG"
"Galactose metabolism","CYP11A1,CYP17A1,STS,SULT2B1,CYP21A2,HSD3B1,HSD3B2,SRD5A1,SRD5A2,SRD5A3,AKR1C2,AKR1C3,CYP11B1,CYP11B2,AKR1D1,AKR1C4,HSD11B1,HSD11B1L,HSD11B2,AKR1C1,CYP7B1,SULT1E1,HSD17B1,HSD17B2,HSD17B6,HSD17B7,HSD17B8,HSD17B12,DHRS11,CYP1A1,CYP1A2,CYP3A5,CYP3A7,CYP3A7_CYP3A51P,CYP2E1,CYP3A4,CYP1B1,CYP19A1,CYP7A1,HSD17B11,UGT2A1,UGT2A3,UGT2B17,UGT2B11,UGT2B28,UGT1A6,UGT1A4,UGT1A1,UGT1A3,UGT2B10,UGT1A9,UGT2B7,UGT1A10,UGT1A8,UGT1A5,UGT2B15,UGT1A7,UGT2B4,UGT2A2,COMT,LRTOMT,HSD17B3,ND1,ND2","KEGG"
"Glutathione metabolism","DGAT1,AWAT2,PNPLA4,RPE65,RDH5,AOX1,ALDH1A2,ALDH1A1,ALDH1A3,CYP26A1,CYP26B1,CYP26C1,CYP1A1,CYP1A2,CYP2A6,CYP2A7,CYP2B6,CYP2C8,CYP2C9,CYP2C18,CYP2S1,CYP3A4,CYP3A5,CYP3A7,CYP3A7_CYP3A51P,CYP2W1,UGT2A1,UGT2A3,UGT2B17,UGT2B11,UGT2B28,UGT1A6,UGT1A4,UGT1A1,UGT1A3,UGT2B10,UGT1A9,UGT2B7,UGT1A10,UGT1A8,UGT1A5,UGT2B15,UGT1A7,UGT2B4,UGT2A2,RETSAT,CYP27C1,ALAS1,ALAS2,EARS2,EPRS1,ALAD,HMBS,UROS,UROD,CPOX,PPOX,FECH,COX10,COX15,MMAB,HMOX1,HMOX2,BLVRA,BLVRB,UGT2A1,UGT2A3,UGT2B17,UGT2B11,UGT2B28,UGT1A6,UGT1A4,UGT1A1,UGT1A3,UGT2B10,UGT1A9,UGT2B7,UGT1A10,UGT1A8,UGT1A5,UGT2B15,UGT1A7,UGT2B4,UGT2A2,GUSB,HCCS,CP,HEPH,HEPHL1,FXN,ACAT2,ACAT1,HMGCS1,HMGCS2,HMGCR,MVK,PMVK,MVD,IDI1,IDI2,FDPS,GGPS1,PDSS1,PDSS2,DHDDS,NUS1,FNTA,FNTB,CHURC1_FNTB,RCE1,ZMPSTE24,ICMT,PCYOX1,GLUD2","KEGG"
"Glycerolipid metabolism","UGT1A7,UGT2B4,UGT2A2,COMT,LRTOMT,HSD17B3,ND1,ND2,ND3,ND4,ND4L,ND5,ND6,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS5,NDUFS6,NDUFS7,NDUFS8,NDUFV1,NDUFV2,NDUFV3,NDUFA1,NDUFA2,NDUFA3,NDUFA4,NDUFA4L2,NDUFA5,NDUFA6,NDUFA7,NDUFA8,NDUFA9,NDUFA10,NDUFAB1,NDUFA11,NDUFA12,NDUFA13,NDUFB1,NDUFB2,NDUFB3,NDUFB4,NDUFB5,NDUFB6,NDUFB7,NDUFB8,NDUFB9,NDUFB10,NDUFB11,NDUFC1,NDUFC2,NDUFC2_KCTD14,SDHA,SDHB,SDHC,SDHD,UQCRFS1,CYTB,CYC1,UQCRC1,UQCRC2,UQCRH,UQCRHL,UQCRB,UQCRQ,UQCR10,UQCR11,COX10,COX3,COX1,COX2,COX4I2,COX4I1,COX5A,COX5B,COX6A1,COX6A2,COX6B1,COX6B2,COX6C,COX7A1,COX7A2,COX7A2L,COX7B,COX7B2,COX7C,COX8C,COX8A,COX11,COX15,COX17,CYCS,ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1D,ATP5F1E,ATP5PO,ATP6,ATP5PB,ATP5MC1,ATP5MC2,ATP5MC3,ATP5PD,ATP5ME,ATP5MF,ATP5MG,ATP5PF,ATP8,ATP6V1A,ATP6V1B1,ATP6V1B2,ATP6V1C2,ATP6V1C1,ATP6V1D,ATP6V1E2,ATP6V1E1,ATP6V1F,ATP6V1G1,ATP6V1G3,ATP6V1G2,ATP6V1H,TCIRG1,ATP6V0A2,ATP6V0A4","KEGG"
"Glycerophospholipid metabolism","UCKL1,NT5C2,NT5C1A,NT5C1B,NT5C,NT5M,NT5C1B_RDH14,NT5DC4,NT5E,UPP2,UPP1,NT5C3A,NT5C3B,CDA,RRM1,RRM2B,RRM2,DCTPP1,HDDC2,DCK,DCTD,DTYMK,DUT,TYMP,TK2,TK1,TYMS,DPYD,DPYS,UPB1,GOT1,GOT1L1,GOT2,IL4I1,DDO,ASRGL1,ASNS,NIT2,GPT2,GPT,AGXT,AGXT2,ASS1,ASL,ADSS1,ADSS2,ADSL,NAT8L,RIMKLB,RIMKLA,FOLH1,ASPA,GAD1,GAD2,ABAT,ALDH5A1,GLUD2,GLUD1,ALDH4A1,GLUL,CAD,GLS2,GLS,CPS1,GFPT2,GFPT1,PPAT,SHMT2,SHMT1,AGXT,GRHPR,GLYCTK,PGAM1,PGAM2,PGAM4,BPGM,PHGDH,PSAT1,PSPH,GCAT,ALAS1,ALAS2,MAOB,MAOA,AOC3,AOC2,GLDC,AMT,DLD,GCSH,DAO,AGXT2,GATM,GAMT,CHDH,ALDH7A1,BHMT,DMGDH,PIPOX,SARDH,GNMT,CBS,CBS,CTH,SDS,SDSL,SRR,CTH,KYAT3,KYAT1,CBS,CBS,BHMT,BHMT2,MTR,MAT2B,MAT1A,MAT2A,AMD1,SRM,SMS,MTAP,LACC1,MRI1,APIP,ENOPH1,ADI1,TAT,IL4I1,GNMT,DNMT1,DNMT3A,DNMT3B,AHCYL2,AHCYL1,AHCY,BCAT2,BCAT1,AGXT2,GCLC,GCLM,GSS,CDO1,GOT1,GOT1L1,GOT2,MPST,TST,LDHAL6A,LDHAL6B,LDHA,LDHB,LDHC,MDH1,MDH2,SDS,SDSL,PHGDH,PSAT1,BCAT2,BCAT1,IL4I1,BCKDHA,BCKDHB,DBT,DLD,ACADS,ACADM,IVD,ACADSB,ACAD8,HADHA,EHHADH,ECHS1,HADH,HSD17B10,ACAA1,ACAA2,HADHB,PCCA,PCCB,MCEE,MMUT,HIBCH,HIBADH,ALDH6A1,ALDH2,ALDH3A2,ALDH1B1,ALDH7A1,ALDH9A1,AOX1,ACSF3,ABAT,AGXT2,MCCC1,MCCC2,AUH","KEGG"
"Glycine, serine and threonine metabolism","B3GALT6,B3GAT3,CSGALNACT1,CSGALNACT2,CHSY3,CHSY1,CHPF,CHPF2,DSE,DSEL,CHST11,CHST12,CHST13,CHST3,CHST7,CHST15,UST,CHST14,FUT8,B4GALT1,B4GALT2,B4GALT3,B3GNT2,CHST6,B4GALT4,B3GNT7,CHST1,ST3GAL3,CHST2,CHST4,ST3GAL1,ST3GAL2,XYLT1,XYLT2,B4GALT7,B3GALT6,B3GAT3,EXTL2,EXTL3,EXTL1,EXT1,EXT2,NDST1,NDST2,NDST3,NDST4,GLCE,HS2ST1,HS6ST1,HS6ST2,HS6ST3,HS3ST1,HS3ST2,HS3ST3B1,HS3ST3A1,HS3ST5,GLYCTK,ALDH2,ALDH3A2,ALDH1B1,ALDH7A1,ALDH9A1,AKR1B1,AKR1B10,AKR1B15,AKR1A1,TKFC,GK2,GK,GPAM,GPAT2,GPAT4,GPAT3,AGPAT1,AGPAT2,AGPAT3,AGPAT4,AGPAT5,LCLAT1,MBOAT1","KEGG"
