"","CancerType","Pathways","Gene"
"70","BLCA","HALLMARK_ANDROGEN_RESPONSE","PTK2B"
"71","BLCA","HALLMARK_ANDROGEN_RESPONSE","PTPN21"
"72","BLCA","HALLMARK_ANDROGEN_RESPONSE","RAB4A"
"73","BLCA","HALLMARK_ANDROGEN_RESPONSE","RPS6KA3"
"74","BLCA","HALLMARK_ANDROGEN_RESPONSE","RRP12"
"75","BLCA","HALLMARK_ANDROGEN_RESPONSE","SAT1"
"76","BLCA","HALLMARK_ANDROGEN_RESPONSE","SCD"
"77","BLCA","HALLMARK_ANDROGEN_RESPONSE","SEC24D"
"78","BLCA","HALLMARK_ANDROGEN_RESPONSE","SELENOP"
"79","BLCA","HALLMARK_ANDROGEN_RESPONSE","SGK1"
"80","BLCA","HALLMARK_ANDROGEN_RESPONSE","SLC26A2"
"81","BLCA","HALLMARK_ANDROGEN_RESPONSE","SLC38A2"
"82","BLCA","HALLMARK_ANDROGEN_RESPONSE","SMS"
"83","BLCA","HALLMARK_ANDROGEN_RESPONSE","SORD"
"84","BLCA","HALLMARK_ANDROGEN_RESPONSE","SPCS3"
"85","BLCA","HALLMARK_ANDROGEN_RESPONSE","SPDEF"
"86","BLCA","HALLMARK_ANDROGEN_RESPONSE","SRF"
"87","BLCA","HALLMARK_ANDROGEN_RESPONSE","SRP19"
"88","BLCA","HALLMARK_ANDROGEN_RESPONSE","STEAP4"
"89","BLCA","HALLMARK_ANDROGEN_RESPONSE","STK39"
"90","BLCA","HALLMARK_ANDROGEN_RESPONSE","TMEM50A"
"91","BLCA","HALLMARK_ANDROGEN_RESPONSE","TMPRSS2"
"92","BLCA","HALLMARK_ANDROGEN_RESPONSE","TNFAIP8"
"93","BLCA","HALLMARK_ANDROGEN_RESPONSE","TPD52"
"94","BLCA","HALLMARK_ANDROGEN_RESPONSE","TSC22D1"
"95","BLCA","HALLMARK_ANDROGEN_RESPONSE","UAP1"
"96","BLCA","HALLMARK_ANDROGEN_RESPONSE","UBE2I"
"97","BLCA","HALLMARK_ANDROGEN_RESPONSE","UBE2J1"
"98","BLCA","HALLMARK_ANDROGEN_RESPONSE","VAPA"
"99","BLCA","HALLMARK_ANDROGEN_RESPONSE","XRCC5"
"100","BLCA","HALLMARK_ANDROGEN_RESPONSE","XRCC6"
"101","BLCA","HALLMARK_ANDROGEN_RESPONSE","ZBTB10"
"102","BLCA","HALLMARK_ANDROGEN_RESPONSE","ZMIZ1"
"103","BLCA","HALLMARK_BILE_ACID_METABOLISM","ABCA1"
"104","BLCA","HALLMARK_BILE_ACID_METABOLISM","ABCA2"
"105","BLCA","HALLMARK_BILE_ACID_METABOLISM","ABCA3"
"106","BLCA","HALLMARK_BILE_ACID_METABOLISM","ABCA4"
"107","BLCA","HALLMARK_BILE_ACID_METABOLISM","ABCA5"
"108","BLCA","HALLMARK_BILE_ACID_METABOLISM","ABCA6"
"109","BLCA","HALLMARK_BILE_ACID_METABOLISM","ABCA8"
"110","BLCA","HALLMARK_BILE_ACID_METABOLISM","ABCA9"
"111","BLCA","HALLMARK_BILE_ACID_METABOLISM","ABCD1"
"112","BLCA","HALLMARK_BILE_ACID_METABOLISM","ABCD2"
"113","BLCA","HALLMARK_BILE_ACID_METABOLISM","ABCD3"
"114","BLCA","HALLMARK_BILE_ACID_METABOLISM","ABCG4"
"115","BLCA","HALLMARK_BILE_ACID_METABOLISM","ABCG8"
"116","BLCA","HALLMARK_BILE_ACID_METABOLISM","ACSL1"
"117","BLCA","HALLMARK_BILE_ACID_METABOLISM","ACSL5"
"118","BLCA","HALLMARK_BILE_ACID_METABOLISM","AGXT"
"119","BLCA","HALLMARK_BILE_ACID_METABOLISM","AKR1D1"
"120","BLCA","HALLMARK_BILE_ACID_METABOLISM","ALDH1A1"
"121","BLCA","HALLMARK_BILE_ACID_METABOLISM","ALDH8A1"
"122","BLCA","HALLMARK_BILE_ACID_METABOLISM","ALDH9A1"
"123","BLCA","HALLMARK_BILE_ACID_METABOLISM","AMACR"
"124","BLCA","HALLMARK_BILE_ACID_METABOLISM","APOA1"
"125","BLCA","HALLMARK_BILE_ACID_METABOLISM","AQP9"
"126","BLCA","HALLMARK_BILE_ACID_METABOLISM","AR"
"127","BLCA","HALLMARK_BILE_ACID_METABOLISM","ATXN1"
"128","BLCA","HALLMARK_BILE_ACID_METABOLISM","BBOX1"
"129","BLCA","HALLMARK_BILE_ACID_METABOLISM","BCAR3"
"130","BLCA","HALLMARK_BILE_ACID_METABOLISM","BMP6"
"131","BLCA","HALLMARK_BILE_ACID_METABOLISM","CAT"
"132","BLCA","HALLMARK_BILE_ACID_METABOLISM","CH25H"
"133","BLCA","HALLMARK_BILE_ACID_METABOLISM","CROT"
"134","BLCA","HALLMARK_BILE_ACID_METABOLISM","CYP27A1"
"135","BLCA","HALLMARK_BILE_ACID_METABOLISM","CYP39A1"
"136","BLCA","HALLMARK_BILE_ACID_METABOLISM","CYP46A1"
"137","BLCA","HALLMARK_BILE_ACID_METABOLISM","CYP7A1"
"138","BLCA","HALLMARK_BILE_ACID_METABOLISM","CYP7B1"
"139","BLCA","HALLMARK_BILE_ACID_METABOLISM","CYP8B1"
"140","BLCA","HALLMARK_BILE_ACID_METABOLISM","DHCR24"
"141","BLCA","HALLMARK_BILE_ACID_METABOLISM","DIO1"
"142","BLCA","HALLMARK_BILE_ACID_METABOLISM","DIO2"
"143","BLCA","HALLMARK_BILE_ACID_METABOLISM","EFHC1"
"144","BLCA","HALLMARK_BILE_ACID_METABOLISM","EPHX2"
"145","BLCA","HALLMARK_BILE_ACID_METABOLISM","FADS1"
"146","BLCA","HALLMARK_BILE_ACID_METABOLISM","FADS2"
"147","BLCA","HALLMARK_BILE_ACID_METABOLISM","FDXR"
"148","BLCA","HALLMARK_BILE_ACID_METABOLISM","GC"
"149","BLCA","HALLMARK_BILE_ACID_METABOLISM","GCLM"
"150","BLCA","HALLMARK_BILE_ACID_METABOLISM","GNMT"
"151","BLCA","HALLMARK_BILE_ACID_METABOLISM","GNPAT"
"152","BLCA","HALLMARK_BILE_ACID_METABOLISM","GSTK1"
"153","BLCA","HALLMARK_BILE_ACID_METABOLISM","HACL1"
"154","BLCA","HALLMARK_BILE_ACID_METABOLISM","HAO1"
"155","BLCA","HALLMARK_BILE_ACID_METABOLISM","HSD17B11"
"156","BLCA","HALLMARK_BILE_ACID_METABOLISM","HSD17B4"
"157","BLCA","HALLMARK_BILE_ACID_METABOLISM","HSD17B6"
"158","BLCA","HALLMARK_BILE_ACID_METABOLISM","HSD3B1"
"159","BLCA","HALLMARK_BILE_ACID_METABOLISM","HSD3B7"
"160","BLCA","HALLMARK_BILE_ACID_METABOLISM","IDH1"
"161","BLCA","HALLMARK_BILE_ACID_METABOLISM","IDH2"
"162","BLCA","HALLMARK_BILE_ACID_METABOLISM","IDI1"
"163","BLCA","HALLMARK_BILE_ACID_METABOLISM","ISOC1"
"164","BLCA","HALLMARK_BILE_ACID_METABOLISM","KLF1"
"165","BLCA","HALLMARK_BILE_ACID_METABOLISM","LCK"
"166","BLCA","HALLMARK_BILE_ACID_METABOLISM","LIPE"
"167","BLCA","HALLMARK_BILE_ACID_METABOLISM","LONP2"
"168","BLCA","HALLMARK_BILE_ACID_METABOLISM","MLYCD"
"169","BLCA","HALLMARK_BILE_ACID_METABOLISM","NEDD4"
"170","BLCA","HALLMARK_BILE_ACID_METABOLISM","NPC1"
"171","BLCA","HALLMARK_BILE_ACID_METABOLISM","NR0B2"
"172","BLCA","HALLMARK_BILE_ACID_METABOLISM","NR1H4"
"173","BLCA","HALLMARK_BILE_ACID_METABOLISM","NR1I2"
"174","BLCA","HALLMARK_BILE_ACID_METABOLISM","NR3C2"
"175","BLCA","HALLMARK_BILE_ACID_METABOLISM","NUDT12"
"176","BLCA","HALLMARK_BILE_ACID_METABOLISM","OPTN"
"177","BLCA","HALLMARK_BILE_ACID_METABOLISM","PAOX"
"178","BLCA","HALLMARK_BILE_ACID_METABOLISM","PECR"
"179","BLCA","HALLMARK_BILE_ACID_METABOLISM","PEX1"
"180","BLCA","HALLMARK_BILE_ACID_METABOLISM","PEX11A"
"181","BLCA","HALLMARK_BILE_ACID_METABOLISM","PEX11G"
"182","BLCA","HALLMARK_BILE_ACID_METABOLISM","PEX12"
"183","BLCA","HALLMARK_BILE_ACID_METABOLISM","PEX13"
"184","BLCA","HALLMARK_BILE_ACID_METABOLISM","PEX16"
"185","BLCA","HALLMARK_BILE_ACID_METABOLISM","PEX19"
"186","BLCA","HALLMARK_BILE_ACID_METABOLISM","PEX26"
"187","BLCA","HALLMARK_BILE_ACID_METABOLISM","PEX6"
"188","BLCA","HALLMARK_BILE_ACID_METABOLISM","PEX7"
"189","BLCA","HALLMARK_BILE_ACID_METABOLISM","PFKM"
"190","BLCA","HALLMARK_BILE_ACID_METABOLISM","PHYH"
"191","BLCA","HALLMARK_BILE_ACID_METABOLISM","PIPOX"
"192","BLCA","HALLMARK_BILE_ACID_METABOLISM","PNPLA8"
"193","BLCA","HALLMARK_BILE_ACID_METABOLISM","PRDX5"
"194","BLCA","HALLMARK_BILE_ACID_METABOLISM","PXMP2"
"195","BLCA","HALLMARK_BILE_ACID_METABOLISM","RBP1"
"196","BLCA","HALLMARK_BILE_ACID_METABOLISM","RETSAT"
"197","BLCA","HALLMARK_BILE_ACID_METABOLISM","RXRA"
"198","BLCA","HALLMARK_BILE_ACID_METABOLISM","RXRG"
"199","BLCA","HALLMARK_BILE_ACID_METABOLISM","SCP2"
"200","BLCA","HALLMARK_BILE_ACID_METABOLISM","SERPINA6"
"201","BLCA","HALLMARK_BILE_ACID_METABOLISM","SERPINA6"
"202","BLCA","HALLMARK_BILE_ACID_METABOLISM","SLC22A18"
"203","BLCA","HALLMARK_BILE_ACID_METABOLISM","SLC22A18"
"204","BLCA","HALLMARK_BILE_ACID_METABOLISM","SLC23A1"
"205","BLCA","HALLMARK_BILE_ACID_METABOLISM","SLC23A2"
"206","BLCA","HALLMARK_BILE_ACID_METABOLISM","SLC27A2"
"207","BLCA","HALLMARK_BILE_ACID_METABOLISM","SLC27A5"
"208","BLCA","HALLMARK_BILE_ACID_METABOLISM","SLC29A1"
"209","BLCA","HALLMARK_BILE_ACID_METABOLISM","SLC35B2"
"210","BLCA","HALLMARK_BILE_ACID_METABOLISM","SLCO1A2"
"211","BLCA","HALLMARK_BILE_ACID_METABOLISM","SOAT2"
"212","BLCA","HALLMARK_BILE_ACID_METABOLISM","SOD1"
"213","BLCA","HALLMARK_BILE_ACID_METABOLISM","SULT1B1"
"214","BLCA","HALLMARK_BILE_ACID_METABOLISM","SULT2B1"
"215","BLCA","HALLMARK_BILE_ACID_METABOLISM","TFCP2L1"
"216","BLCA","HALLMARK_BILE_ACID_METABOLISM","TTR"
"217","BLCA","HALLMARK_HEME_METABOLISM","ABCB6"
"218","BLCA","HALLMARK_HEME_METABOLISM","ABCG2"
"219","BLCA","HALLMARK_HEME_METABOLISM","ACKR1"
"220","BLCA","HALLMARK_HEME_METABOLISM","ACP5"
"221","BLCA","HALLMARK_HEME_METABOLISM","ACSL6"
"222","BLCA","HALLMARK_HEME_METABOLISM","ADD1"
"223","BLCA","HALLMARK_HEME_METABOLISM","ADD2"
"224","BLCA","HALLMARK_HEME_METABOLISM","ADIPOR1"
"225","BLCA","HALLMARK_HEME_METABOLISM","AGPAT4"
"226","BLCA","HALLMARK_HEME_METABOLISM","AHSP"
"227","BLCA","HALLMARK_HEME_METABOLISM","ALAD"
"228","BLCA","HALLMARK_HEME_METABOLISM","ALAS2"
"229","BLCA","HALLMARK_HEME_METABOLISM","ALDH1L1"
"230","BLCA","HALLMARK_HEME_METABOLISM","ALDH6A1"
"231","BLCA","HALLMARK_HEME_METABOLISM","ANK1"
"232","BLCA","HALLMARK_HEME_METABOLISM","AQP3"
"233","BLCA","HALLMARK_HEME_METABOLISM","ARHGEF12"
"234","BLCA","HALLMARK_HEME_METABOLISM","ARL2BP"
"235","BLCA","HALLMARK_HEME_METABOLISM","ASNS"
"236","BLCA","HALLMARK_HEME_METABOLISM","ATG4A"
"237","BLCA","HALLMARK_HEME_METABOLISM","ATP6V0A1"
"238","BLCA","HALLMARK_HEME_METABOLISM","BACH1"
"239","BLCA","HALLMARK_HEME_METABOLISM","BCAM"
"240","BLCA","HALLMARK_HEME_METABOLISM","BLVRA"
"241","BLCA","HALLMARK_HEME_METABOLISM","BLVRB"
"242","BLCA","HALLMARK_HEME_METABOLISM","BMP2K"
"243","BLCA","HALLMARK_HEME_METABOLISM","BNIP3L"
"244","BLCA","HALLMARK_HEME_METABOLISM","BPGM"
"245","BLCA","HALLMARK_HEME_METABOLISM","BSG"
"246","BLCA","HALLMARK_HEME_METABOLISM","BTG2"
"247","BLCA","HALLMARK_HEME_METABOLISM","BTRC"
"248","BLCA","HALLMARK_HEME_METABOLISM","C3"
"249","BLCA","HALLMARK_HEME_METABOLISM","CA1"
"250","BLCA","HALLMARK_HEME_METABOLISM","CA2"
"251","BLCA","HALLMARK_HEME_METABOLISM","CAST"
"252","BLCA","HALLMARK_HEME_METABOLISM","CAT"
"253","BLCA","HALLMARK_HEME_METABOLISM","CCDC28A"
"254","BLCA","HALLMARK_HEME_METABOLISM","CCND3"
"255","BLCA","HALLMARK_HEME_METABOLISM","CDC27"
"256","BLCA","HALLMARK_HEME_METABOLISM","CDR2"
"257","BLCA","HALLMARK_HEME_METABOLISM","CIR1"
"258","BLCA","HALLMARK_HEME_METABOLISM","CLCN3"
"259","BLCA","HALLMARK_HEME_METABOLISM","CLIC2"
"260","BLCA","HALLMARK_HEME_METABOLISM","CPOX"
"261","BLCA","HALLMARK_HEME_METABOLISM","CROCCP2"
"262","BLCA","HALLMARK_HEME_METABOLISM","CTNS"
"263","BLCA","HALLMARK_HEME_METABOLISM","CTSB"
"264","BLCA","HALLMARK_HEME_METABOLISM","CTSB"
"265","BLCA","HALLMARK_HEME_METABOLISM","CTSE"
"266","BLCA","HALLMARK_HEME_METABOLISM","DAAM1"
"267","BLCA","HALLMARK_HEME_METABOLISM","DCAF10"
"268","BLCA","HALLMARK_HEME_METABOLISM","DCAF11"
"269","BLCA","HALLMARK_HEME_METABOLISM","DCAF11"
"270","BLCA","HALLMARK_HEME_METABOLISM","DCUN1D1"
"271","BLCA","HALLMARK_HEME_METABOLISM","DMTN"
"272","BLCA","HALLMARK_HEME_METABOLISM","E2F2"
"273","BLCA","HALLMARK_HEME_METABOLISM","E2F2"
"274","BLCA","HALLMARK_HEME_METABOLISM","EIF2AK1"
"275","BLCA","HALLMARK_HEME_METABOLISM","ELL2"
"276","BLCA","HALLMARK_HEME_METABOLISM","ENDOD1"
"277","BLCA","HALLMARK_HEME_METABOLISM","EPB41"
"278","BLCA","HALLMARK_HEME_METABOLISM","EPB42"
"279","BLCA","HALLMARK_HEME_METABOLISM","EPOR"
"280","BLCA","HALLMARK_HEME_METABOLISM","ERMAP"
"281","BLCA","HALLMARK_HEME_METABOLISM","EZH1"
"282","BLCA","HALLMARK_HEME_METABOLISM","FBXO34"
"283","BLCA","HALLMARK_HEME_METABOLISM","FBXO7"
"284","BLCA","HALLMARK_HEME_METABOLISM","FBXO9"
"285","BLCA","HALLMARK_HEME_METABOLISM","FECH"
"286","BLCA","HALLMARK_HEME_METABOLISM","FN3K"
"287","BLCA","HALLMARK_HEME_METABOLISM","FOXJ2"
"288","BLCA","HALLMARK_HEME_METABOLISM","FOXO3"
"289","BLCA","HALLMARK_HEME_METABOLISM","FTCD"
"290","BLCA","HALLMARK_HEME_METABOLISM","FTCD"
"291","BLCA","HALLMARK_HEME_METABOLISM","GAPVD1"
"292","BLCA","HALLMARK_HEME_METABOLISM","GATA1"
"293","BLCA","HALLMARK_HEME_METABOLISM","GCLC"
"294","BLCA","HALLMARK_HEME_METABOLISM","GCLM"
"295","BLCA","HALLMARK_HEME_METABOLISM","GDE1"
"296","BLCA","HALLMARK_HEME_METABOLISM","GLRX5"
"297","BLCA","HALLMARK_HEME_METABOLISM","GMPS"
"298","BLCA","HALLMARK_HEME_METABOLISM","GYPA"
"299","BLCA","HALLMARK_HEME_METABOLISM","GYPB"
"300","BLCA","HALLMARK_HEME_METABOLISM","GYPC"
"301","BLCA","HALLMARK_HEME_METABOLISM","GYPE"
"302","BLCA","HALLMARK_HEME_METABOLISM","H1-0"
"303","BLCA","HALLMARK_HEME_METABOLISM","H4C3"
"304","BLCA","HALLMARK_HEME_METABOLISM","HAGH"
"305","BLCA","HALLMARK_HEME_METABOLISM","HBB"
"306","BLCA","HALLMARK_HEME_METABOLISM","HBBP1"
"307","BLCA","HALLMARK_HEME_METABOLISM","HBD"
"308","BLCA","HALLMARK_HEME_METABOLISM","HBQ1"
"309","BLCA","HALLMARK_HEME_METABOLISM","HBZ"
"310","BLCA","HALLMARK_HEME_METABOLISM","HDGF"
"311","BLCA","HALLMARK_HEME_METABOLISM","HEBP1"
"312","BLCA","HALLMARK_HEME_METABOLISM","HMBS"
"313","BLCA","HALLMARK_HEME_METABOLISM","HTATIP2"
"314","BLCA","HALLMARK_HEME_METABOLISM","HTRA2"
"315","BLCA","HALLMARK_HEME_METABOLISM","ICAM4"
"316","BLCA","HALLMARK_HEME_METABOLISM","IGSF3"
"317","BLCA","HALLMARK_HEME_METABOLISM","ISCA1"
"318","BLCA","HALLMARK_HEME_METABOLISM","KAT2B"
"319","BLCA","HALLMARK_HEME_METABOLISM","KDM7A"
"320","BLCA","HALLMARK_HEME_METABOLISM","KEL"
"321","BLCA","HALLMARK_HEME_METABOLISM","KEL"
"322","BLCA","HALLMARK_HEME_METABOLISM","KHNYN"
"323","BLCA","HALLMARK_HEME_METABOLISM","KLF1"
"324","BLCA","HALLMARK_HEME_METABOLISM","KLF3"
"325","BLCA","HALLMARK_HEME_METABOLISM","LAMP2"
"326","BLCA","HALLMARK_HEME_METABOLISM","LMO2"
"327","BLCA","HALLMARK_HEME_METABOLISM","LPIN2"
"328","BLCA","HALLMARK_HEME_METABOLISM","LRP10"
"329","BLCA","HALLMARK_HEME_METABOLISM","MAP2K3"
"330","BLCA","HALLMARK_HEME_METABOLISM","MARCHF2"
"331","BLCA","HALLMARK_HEME_METABOLISM","MARCHF8"
"332","BLCA","HALLMARK_HEME_METABOLISM","MARCHF8"
"333","BLCA","HALLMARK_HEME_METABOLISM","MARK3"
"334","BLCA","HALLMARK_HEME_METABOLISM","MBOAT2"
"335","BLCA","HALLMARK_HEME_METABOLISM","MFHAS1"
"336","BLCA","HALLMARK_HEME_METABOLISM","MFHAS1"
"337","BLCA","HALLMARK_HEME_METABOLISM","MGST3"
"338","BLCA","HALLMARK_HEME_METABOLISM","MINPP1"
"339","BLCA","HALLMARK_HEME_METABOLISM","MKRN1"
"340","BLCA","HALLMARK_HEME_METABOLISM","MOCOS"
"341","BLCA","HALLMARK_HEME_METABOLISM","MOSPD1"
"342","BLCA","HALLMARK_HEME_METABOLISM","MPP1"
"343","BLCA","HALLMARK_HEME_METABOLISM","MXI1"
"344","BLCA","HALLMARK_HEME_METABOLISM","MYL4"
"345","BLCA","HALLMARK_HEME_METABOLISM","NARF"
"346","BLCA","HALLMARK_HEME_METABOLISM","NCOA4"
"347","BLCA","HALLMARK_HEME_METABOLISM","NEK7"
"348","BLCA","HALLMARK_HEME_METABOLISM","NFE2"
"349","BLCA","HALLMARK_HEME_METABOLISM","NFE2L1"
"350","BLCA","HALLMARK_HEME_METABOLISM","NNT"
"351","BLCA","HALLMARK_HEME_METABOLISM","NR3C1"
"352","BLCA","HALLMARK_HEME_METABOLISM","NUDT4"
"353","BLCA","HALLMARK_HEME_METABOLISM","OPTN"
"354","BLCA","HALLMARK_HEME_METABOLISM","OSBP2"
"355","BLCA","HALLMARK_HEME_METABOLISM","P4HA2"
"356","BLCA","HALLMARK_HEME_METABOLISM","PC"
"357","BLCA","HALLMARK_HEME_METABOLISM","PDZK1IP1"
"358","BLCA","HALLMARK_HEME_METABOLISM","PGLS"
"359","BLCA","HALLMARK_HEME_METABOLISM","PICALM"
"360","BLCA","HALLMARK_HEME_METABOLISM","PIGQ"
"361","BLCA","HALLMARK_HEME_METABOLISM","PPOX"
"362","BLCA","HALLMARK_HEME_METABOLISM","PPP2R5B"
"363","BLCA","HALLMARK_HEME_METABOLISM","PRDX2"
"364","BLCA","HALLMARK_HEME_METABOLISM","PSMD9"
"365","BLCA","HALLMARK_HEME_METABOLISM","RAD23A"
"366","BLCA","HALLMARK_HEME_METABOLISM","RANBP10"
"367","BLCA","HALLMARK_HEME_METABOLISM","RAP1GAP"
"368","BLCA","HALLMARK_HEME_METABOLISM","RBM38"
"369","BLCA","HALLMARK_HEME_METABOLISM","RBM5"
"370","BLCA","HALLMARK_HEME_METABOLISM","RCL1"
"371","BLCA","HALLMARK_HEME_METABOLISM","RHAG"
"372","BLCA","HALLMARK_HEME_METABOLISM","RHCE"
"373","BLCA","HALLMARK_HEME_METABOLISM","RHD"
"374","BLCA","HALLMARK_HEME_METABOLISM","RIOK3"
"375","BLCA","HALLMARK_HEME_METABOLISM","RNF123"
"376","BLCA","HALLMARK_HEME_METABOLISM","RNF19A"
"377","BLCA","HALLMARK_HEME_METABOLISM","SDCBP"
"378","BLCA","HALLMARK_HEME_METABOLISM","SEC14L1"
"379","BLCA","HALLMARK_HEME_METABOLISM","SELENBP1"
"380","BLCA","HALLMARK_HEME_METABOLISM","SIDT2"
"381","BLCA","HALLMARK_HEME_METABOLISM","SLC10A3"
"382","BLCA","HALLMARK_HEME_METABOLISM","SLC11A2"
"383","BLCA","HALLMARK_HEME_METABOLISM","SLC22A4"
"384","BLCA","HALLMARK_HEME_METABOLISM","SLC25A37"
"385","BLCA","HALLMARK_HEME_METABOLISM","SLC25A38"
"386","BLCA","HALLMARK_HEME_METABOLISM","SLC2A1"
"387","BLCA","HALLMARK_HEME_METABOLISM","SLC30A1"
"388","BLCA","HALLMARK_HEME_METABOLISM","SLC30A10"
"389","BLCA","HALLMARK_HEME_METABOLISM","SLC4A1"
"390","BLCA","HALLMARK_HEME_METABOLISM","SLC66A2"
"391","BLCA","HALLMARK_HEME_METABOLISM","SLC6A8"
"392","BLCA","HALLMARK_HEME_METABOLISM","SLC6A9"
"393","BLCA","HALLMARK_HEME_METABOLISM","SLC7A11"
"394","BLCA","HALLMARK_HEME_METABOLISM","SMOX"
"395","BLCA","HALLMARK_HEME_METABOLISM","SNCA"
"396","BLCA","HALLMARK_HEME_METABOLISM","SPTA1"
"397","BLCA","HALLMARK_HEME_METABOLISM","SPTB"
"398","BLCA","HALLMARK_HEME_METABOLISM","SYNJ1"
"399","BLCA","HALLMARK_HEME_METABOLISM","TAL1"
