"Gene","Cancer_type","Pathway","new"
"ACVR1","READ","phosphorylation","ACVR1 READ"
"ACVR1","UCEC","phosphorylation","ACVR1 UCEC"
"ACVR1B","PAAD","protein autophosphorylation","ACVR1B PAAD"
"ACVR2A","CHOL","phosphorylation","ACVR2A CHOL"
"ACVR2A","LUAD","phosphorylation","ACVR2A LUAD"
"ACVR2A","COAD","phosphorylation","ACVR2A COAD"
"ACVR2A","PANCAN","phosphorylation","ACVR2A PANCAN"
"ACVR2A","UCS","phosphorylation","ACVR2A UCS"
"ACVR2A","CESC","phosphorylation","ACVR2A CESC"
"ACVR2A","BRCA","phosphorylation","ACVR2A BRCA"
"ACVR2A","SARC","phosphorylation","ACVR2A SARC"
"ACVR2A","LUSC","phosphorylation","ACVR2A LUSC"
"ACVR2A","PAAD","phosphorylation","ACVR2A PAAD"
"ACVR2A","SKCM","phosphorylation","ACVR2A SKCM"
"ACVR2A","CSCC","phosphorylation","ACVR2A CSCC"
"ACVR2A","READ","phosphorylation","ACVR2A READ"
"ACVR2A","UCEC","phosphorylation","ACVR2A UCEC"
"ACVR2A","STAD","phosphorylation","ACVR2A STAD"
"ACVR2A","ESCA","phosphorylation","ACVR2A ESCA"
"ACVR2A","PRAD","phosphorylation","ACVR2A PRAD"
"ACVR2A","LIHC","phosphorylation","ACVR2A LIHC"
"ACVR2A","COADREAD","phosphorylation","ACVR2A COADREAD"
"ACVR2A","KIRP","phosphorylation","ACVR2A KIRP"
"ADAM10","KIRC","protein processing","ADAM10 KIRC"
"ADAM18","HNSC","proteolysis","ADAM18 HNSC"
"ADAM18","STAD","proteolysis","ADAM18 STAD"
"ADAM18","BRCA","proteolysis","ADAM18 BRCA"
"ADAM18","BLCA","proteolysis","ADAM18 BLCA"
"ADAM18","THCA","proteolysis","ADAM18 THCA"
"ADAM18","UCEC","proteolysis","ADAM18 UCEC"
"ADAM18","PRAD","proteolysis","ADAM18 PRAD"
"ADAM18","LUAD","proteolysis","ADAM18 LUAD"
"ADAM18","KIRP","proteolysis","ADAM18 KIRP"
"ADAM22","HNSC","proteolysis","ADAM22 HNSC"
"ADAMTS12","LIHC","proteoglycan catabolic process","ADAMTS12 LIHC"
"ADAMTS20","PRAD","proteolysis","ADAMTS20 PRAD"
"ADAMTS9","LIHC","proteolysis","ADAMTS9 LIHC"
"ADCY8","ESCA","cAMP biosynthetic process","ADCY8 ESCA"
"ADCY8","PRAD","cAMP biosynthetic process","ADCY8 PRAD"
"ADGRV1","BRCA","self proteolysis","ADGRV1 BRCA"
"ADGRV1","KIRP","self proteolysis","ADGRV1 KIRP"
"ADGRV1","PRAD","self proteolysis","ADGRV1 PRAD"
"ADGRV1","KIRC","self proteolysis","ADGRV1 KIRC"
"ADGRV1","LIHC","self proteolysis","ADGRV1 LIHC"
"ADGRV1","ESCA","self proteolysis","ADGRV1 ESCA"
"AGO4","LUAD","miRNA processing","AGO4 LUAD"
"AJUBA","HNSC","glycerophospholipid biosynthetic process","AJUBA HNSC"
"AKT1","COAD","phosphorylation","AKT1 COAD"
"AKT1","STAD","phosphorylation","AKT1 STAD"
"AKT1","THYM","phosphorylation","AKT1 THYM"
"AKT1","LUSC","phosphorylation","AKT1 LUSC"
"AKT1","UCEC","phosphorylation","AKT1 UCEC"
"AKT1","OS","phosphorylation","AKT1 OS"
"AKT1","NSCLC","phosphorylation","AKT1 NSCLC"
"AKT1","SKCM","phosphorylation","AKT1 SKCM"
"AKT1","PANCAN","phosphorylation","AKT1 PANCAN"
"AKT1","ACYC","phosphorylation","AKT1 ACYC"
"AKT1","LAML","phosphorylation","AKT1 LAML"
"AKT1","THCA","phosphorylation","AKT1 THCA"
"AKT1","ESCA","phosphorylation","AKT1 ESCA"
"AKT1","BLCA","phosphorylation","AKT1 BLCA"
"AKT1","BRCA","phosphorylation","AKT1 BRCA"
"AKT1","CESC","phosphorylation","AKT1 CESC"
"AKT2","LUSC","glycogen biosynthetic process","AKT2 LUSC"
"AKT2","PAAD","glycogen biosynthetic process","AKT2 PAAD"
"AKT2","CESC","glycogen biosynthetic process","AKT2 CESC"
"AKT2","LUAD","glycogen biosynthetic process","AKT2 LUAD"
"AKT2","KIRP","glycogen biosynthetic process","AKT2 KIRP"
"AKT2","DLBC","glycogen biosynthetic process","AKT2 DLBC"
"AKT2","COAD","glycogen biosynthetic process","AKT2 COAD"
"AKT2","ESCA","glycogen biosynthetic process","AKT2 ESCA"
"AKT2","PANCAN","glycogen biosynthetic process","AKT2 PANCAN"
"AKT2","SKCM","glycogen biosynthetic process","AKT2 SKCM"
"AKT2","STAD","glycogen biosynthetic process","AKT2 STAD"
"AKT2","OV","glycogen biosynthetic process","AKT2 OV"
"AKT2","UCEC","glycogen biosynthetic process","AKT2 UCEC"
"AKT3","UCEC","protein phosphorylation","AKT3 UCEC"
"AKT3","MESO","protein phosphorylation","AKT3 MESO"
"AKT3","CESC","protein phosphorylation","AKT3 CESC"
"AKT3","BLCA","protein phosphorylation","AKT3 BLCA"
"AKT3","LUSC","protein phosphorylation","AKT3 LUSC"
"AKT3","READ","protein phosphorylation","AKT3 READ"
"AKT3","COAD","protein phosphorylation","AKT3 COAD"
"AKT3","HNSC","protein phosphorylation","AKT3 HNSC"
"AKT3","PANCAN","protein phosphorylation","AKT3 PANCAN"
"AKT3","LUAD","protein phosphorylation","AKT3 LUAD"
"AKT3","ESCA","protein phosphorylation","AKT3 ESCA"
"AKT3","STAD","protein phosphorylation","AKT3 STAD"
"AKT3","SKCM","protein phosphorylation","AKT3 SKCM"
"ALDH1A1","PRAD","retinol metabolic process","ALDH1A1 PRAD"
"ALDH1A1","READ","retinol metabolic process","ALDH1A1 READ"
"ALDH1A1","KICH","retinol metabolic process","ALDH1A1 KICH"
"ALDH1A1","THCA","retinol metabolic process","ALDH1A1 THCA"
"ALDH1A1","LUAD","retinol metabolic process","ALDH1A1 LUAD"
"ALDH1A1","COAD","retinol metabolic process","ALDH1A1 COAD"
"ALDH1A1","HNSC","retinol metabolic process","ALDH1A1 HNSC"
"ALDH1A1","BLCA","retinol metabolic process","ALDH1A1 BLCA"
"ALDH1A1","STAD","retinol metabolic process","ALDH1A1 STAD"
"ALDH1A1","BRCA","retinol metabolic process","ALDH1A1 BRCA"
"ALDH1A1","KIRC","retinol metabolic process","ALDH1A1 KIRC"
"ALDH2","UCEC","electron transport chain","ALDH2 UCEC"
"ALDH2","UVM","electron transport chain","ALDH2 UVM"
"ALDH2","ESCA","electron transport chain","ALDH2 ESCA"
"ALDH2","COAD","electron transport chain","ALDH2 COAD"
"ALDH2","STAD","electron transport chain","ALDH2 STAD"
"ALDH2","SARC","electron transport chain","ALDH2 SARC"
"ALDH2","SKCM","electron transport chain","ALDH2 SKCM"
"ALDH2","UCS","electron transport chain","ALDH2 UCS"
"ALDH2","READ","electron transport chain","ALDH2 READ"
"ALDH2","KIRP","electron transport chain","ALDH2 KIRP"
"ALDH2","CESC","electron transport chain","ALDH2 CESC"
"ALK","THCA","peptidyl-tyrosine autophosphorylation","ALK THCA"
"ALK","CESC","peptidyl-tyrosine autophosphorylation","ALK CESC"
"ALK","UCS","peptidyl-tyrosine autophosphorylation","ALK UCS"
"ALK","LIHC","peptidyl-tyrosine autophosphorylation","ALK LIHC"
"ALK","LUAD","peptidyl-tyrosine autophosphorylation","ALK LUAD"
"ALK","ESCA","peptidyl-tyrosine autophosphorylation","ALK ESCA"
"ALK","NBL","peptidyl-tyrosine autophosphorylation","ALK NBL"
"ALK","OV","peptidyl-tyrosine autophosphorylation","ALK OV"
"ALK","DLBC","peptidyl-tyrosine autophosphorylation","ALK DLBC"
"ALK","READ","peptidyl-tyrosine autophosphorylation","ALK READ"
"ALK","LAML","peptidyl-tyrosine autophosphorylation","ALK LAML"
"ALK","SKCM","peptidyl-tyrosine autophosphorylation","ALK SKCM"
"ALK","GBM","peptidyl-tyrosine autophosphorylation","ALK GBM"
"ALK","KIRP","peptidyl-tyrosine autophosphorylation","ALK KIRP"
"ALK","SARC","peptidyl-tyrosine autophosphorylation","ALK SARC"
"ALK","SKCA","peptidyl-tyrosine autophosphorylation","ALK SKCA"
"ALK","BRCA","peptidyl-tyrosine autophosphorylation","ALK BRCA"
"ALK","PANCAN","peptidyl-tyrosine autophosphorylation","ALK PANCAN"
"ALK","LUSC","peptidyl-tyrosine autophosphorylation","ALK LUSC"
"ALK","SCLC","peptidyl-tyrosine autophosphorylation","ALK SCLC"
"ALK","BLCA","peptidyl-tyrosine autophosphorylation","ALK BLCA"
"ALK","UCEC","peptidyl-tyrosine autophosphorylation","ALK UCEC"
"ALK","HNSC","peptidyl-tyrosine autophosphorylation","ALK HNSC"
"ALK","COAD","peptidyl-tyrosine autophosphorylation","ALK COAD"
"ALK","STAD","peptidyl-tyrosine autophosphorylation","ALK STAD"
"ALK","NSCLC","peptidyl-tyrosine autophosphorylation","ALK NSCLC"
"ALK","PAAD","peptidyl-tyrosine autophosphorylation","ALK PAAD"
"ALK","KIRC","peptidyl-tyrosine autophosphorylation","ALK KIRC"
"ANPEP","KIRP","proteolysis","ANPEP KIRP"
"AOX1","LIHC","lipid metabolic process","AOX1 LIHC"
"APC","LIHC","proteasome-mediated ubiquitin-dependent protein catabolic process","APC LIHC"
"APC","LUSC","proteasome-mediated ubiquitin-dependent protein catabolic process","APC LUSC"
"APC","CHOL","proteasome-mediated ubiquitin-dependent protein catabolic process","APC CHOL"
"APC","COAD","proteasome-mediated ubiquitin-dependent protein catabolic process","APC COAD"
"APC","UVM","proteasome-mediated ubiquitin-dependent protein catabolic process","APC UVM"
"APC","READ","proteasome-mediated ubiquitin-dependent protein catabolic process","APC READ"
"APC","STAD","proteasome-mediated ubiquitin-dependent protein catabolic process","APC STAD"
"APC","SARC","proteasome-mediated ubiquitin-dependent protein catabolic process","APC SARC"
"APC","LUAD","proteasome-mediated ubiquitin-dependent protein catabolic process","APC LUAD"
"APC","KIRC","proteasome-mediated ubiquitin-dependent protein catabolic process","APC KIRC"
"APC","ESCA","proteasome-mediated ubiquitin-dependent protein catabolic process","APC ESCA"
"APC","KIRP","proteasome-mediated ubiquitin-dependent protein catabolic process","APC KIRP"
"APC","PANCAN","proteasome-mediated ubiquitin-dependent protein catabolic process","APC PANCAN"
"APC","PAAD","proteasome-mediated ubiquitin-dependent protein catabolic process","APC PAAD"
"APC","ANSC","proteasome-mediated ubiquitin-dependent protein catabolic process","APC ANSC"
"APC","CESC","proteasome-mediated ubiquitin-dependent protein catabolic process","APC CESC"
"APC","GBM","proteasome-mediated ubiquitin-dependent protein catabolic process","APC GBM"
"APC","SKCM","proteasome-mediated ubiquitin-dependent protein catabolic process","APC SKCM"
"APC","PRAD","proteasome-mediated ubiquitin-dependent protein catabolic process","APC PRAD"
"APC","DLBC","proteasome-mediated ubiquitin-dependent protein catabolic process","APC DLBC"
"APC","SBC","proteasome-mediated ubiquitin-dependent protein catabolic process","APC SBC"
"APC","WT","proteasome-mediated ubiquitin-dependent protein catabolic process","APC WT"
"APC","OV","proteasome-mediated ubiquitin-dependent protein catabolic process","APC OV"
"APC","UCS","proteasome-mediated ubiquitin-dependent protein catabolic process","APC UCS"
"APC","VULVA","proteasome-mediated ubiquitin-dependent protein catabolic process","APC VULVA"
"APC","HNSC","proteasome-mediated ubiquitin-dependent protein catabolic process","APC HNSC"
"APC","BRCA","proteasome-mediated ubiquitin-dependent protein catabolic process","APC BRCA"
"APC","UCEC","proteasome-mediated ubiquitin-dependent protein catabolic process","APC UCEC"
"APC","BLCA","proteasome-mediated ubiquitin-dependent protein catabolic process","APC BLCA"
"APOB","LIHC","lipoprotein catabolic process","APOB LIHC"
"APOB","LUAD","lipoprotein catabolic process","APOB LUAD"
"APOB","PRAD","lipoprotein catabolic process","APOB PRAD"
"APOBEC3B","UCEC","cytidine to uridine editing","APOBEC3B UCEC"
"APOBEC3B","SKCM","cytidine to uridine editing","APOBEC3B SKCM"
"APOBEC3B","LUSC","cytidine to uridine editing","APOBEC3B LUSC"
"APOBEC3B","COAD","cytidine to uridine editing","APOBEC3B COAD"
"APOBEC3B","STAD","cytidine to uridine editing","APOBEC3B STAD"
"APOBEC3B","SARC","cytidine to uridine editing","APOBEC3B SARC"
"APOBEC3B","BRCA","cytidine to uridine editing","APOBEC3B BRCA"
"AR","SKCM","transcription by RNA polymerase II","AR SKCM"
"AR","LUSC","transcription by RNA polymerase II","AR LUSC"
"AR","LUAD","transcription by RNA polymerase II","AR LUAD"
"AR","COAD","transcription by RNA polymerase II","AR COAD"
"AR","BRCA","transcription by RNA polymerase II","AR BRCA"
"AR","READ","transcription by RNA polymerase II","AR READ"
"AR","ESCA","transcription by RNA polymerase II","AR ESCA"
"AR","CESC","transcription by RNA polymerase II","AR CESC"
"AR","HNSC","transcription by RNA polymerase II","AR HNSC"
"AR","PANCAN","transcription by RNA polymerase II","AR PANCAN"
"AR","BLCA","transcription by RNA polymerase II","AR BLCA"
"AR","SARC","transcription by RNA polymerase II","AR SARC"
"AR","UCEC","transcription by RNA polymerase II","AR UCEC"
"AR","OV","transcription by RNA polymerase II","AR OV"
"AR","STAD","transcription by RNA polymerase II","AR STAD"
"AR","LIHC","transcription by RNA polymerase II","AR LIHC"
"AR","GBM","transcription by RNA polymerase II","AR GBM"
"AR","CHOL","transcription by RNA polymerase II","AR CHOL"
"AR","PCM","transcription by RNA polymerase II","AR PCM"
"AR","DLBC","transcription by RNA polymerase II","AR DLBC"
"ARAF","PAAD","protein modification process","ARAF PAAD"
"ARAF","ESCA","protein modification process","ARAF ESCA"
"ARAF","CESC","protein modification process","ARAF CESC"
"ARAF","SKCM","protein modification process","ARAF SKCM"
"ARAF","SARC","protein modification process","ARAF SARC"
"ARAF","UCEC","protein modification process","ARAF UCEC"
"ARAF","STAD","protein modification process","ARAF STAD"
"ARAF","CHOL","protein modification process","ARAF CHOL"
"ARAF","PANCAN","protein modification process","ARAF PANCAN"
"ARAF","COAD","protein modification process","ARAF COAD"
"ARAF","UCS","protein modification process","ARAF UCS"
"ARAF","LUSC","protein modification process","ARAF LUSC"
"ARAF","READ","protein modification process","ARAF READ"
"ARAF","MESO","protein modification process","ARAF MESO"
"ARID1A","CGCI-BLGSP","transcription initiation-coupled chromatin remodeling","ARID1A CGCI-BLGSP"
"ARID1A","MESO","transcription initiation-coupled chromatin remodeling","ARID1A MESO"
"ARID1A","NBL","transcription initiation-coupled chromatin remodeling","ARID1A NBL"
"ARID1A","MBL","transcription initiation-coupled chromatin remodeling","ARID1A MBL"
"ARID1A","UCS","transcription initiation-coupled chromatin remodeling","ARID1A UCS"
"ARID1A","CLLSLL","transcription initiation-coupled chromatin remodeling","ARID1A CLLSLL"
"ARID1A","LAML","transcription initiation-coupled chromatin remodeling","ARID1A LAML"
"ARID1A","STAD","transcription initiation-coupled chromatin remodeling","ARID1A STAD"
"ARID1A","BLCA","transcription initiation-coupled chromatin remodeling","ARID1A BLCA"
"ARID1A","LUAD","transcription initiation-coupled chromatin remodeling","ARID1A LUAD"
"ARID1A","PANCAN","transcription initiation-coupled chromatin remodeling","ARID1A PANCAN"
"ARID1A","HNSC","transcription initiation-coupled chromatin remodeling","ARID1A HNSC"
"ARID1A","LUSC","transcription initiation-coupled chromatin remodeling","ARID1A LUSC"
"ARID1A","CESC","transcription initiation-coupled chromatin remodeling","ARID1A CESC"
"ARID1A","DLBC","transcription initiation-coupled chromatin remodeling","ARID1A DLBC"
"ARID1A","BRCA","transcription initiation-coupled chromatin remodeling","ARID1A BRCA"
"ARID1A","OVT","transcription initiation-coupled chromatin remodeling","ARID1A OVT"
"ARID1A","LNET","transcription initiation-coupled chromatin remodeling","ARID1A LNET"
"ARID1A","OV","transcription initiation-coupled chromatin remodeling","ARID1A OV"
"ARID1A","PAAD","transcription initiation-coupled chromatin remodeling","ARID1A PAAD"
"ARID1A","SKCM","transcription initiation-coupled chromatin remodeling","ARID1A SKCM"
"ARID1A","CHOL","transcription initiation-coupled chromatin remodeling","ARID1A CHOL"
"ARID1A","READ","transcription initiation-coupled chromatin remodeling","ARID1A READ"
"ARID1A","RCC","transcription initiation-coupled chromatin remodeling","ARID1A RCC"
"ARID1A","LIHC","transcription initiation-coupled chromatin remodeling","ARID1A LIHC"
"ARID1A","GBM","transcription initiation-coupled chromatin remodeling","ARID1A GBM"
"ARID1A","PAST","transcription initiation-coupled chromatin remodeling","ARID1A PAST"
"ARID1A","NHL","transcription initiation-coupled chromatin remodeling","ARID1A NHL"
"ARID1A","COAD","transcription initiation-coupled chromatin remodeling","ARID1A COAD"
"ARID1A","ESCA","transcription initiation-coupled chromatin remodeling","ARID1A ESCA"
"ARID1A","PRAD","transcription initiation-coupled chromatin remodeling","ARID1A PRAD"
"ARID1A","WT","transcription initiation-coupled chromatin remodeling","ARID1A WT"
"ARID1A","KIRP","transcription initiation-coupled chromatin remodeling","ARID1A KIRP"
"ARID1A","LGG","transcription initiation-coupled chromatin remodeling","ARID1A LGG"
"ARID1A","KIRC","transcription initiation-coupled chromatin remodeling","ARID1A KIRC"
"ARID1A","UCEC","transcription initiation-coupled chromatin remodeling","ARID1A UCEC"
"ARID1A","SARC","transcription initiation-coupled chromatin remodeling","ARID1A SARC"
"ARID1B","LAML","transcription initiation-coupled chromatin remodeling","ARID1B LAML"
"ARID1B","KIRC","transcription initiation-coupled chromatin remodeling","ARID1B KIRC"
"ARID1B","STAD","transcription initiation-coupled chromatin remodeling","ARID1B STAD"
"ARID1B","LUSC","transcription initiation-coupled chromatin remodeling","ARID1B LUSC"
"ARID1B","HNSC","transcription initiation-coupled chromatin remodeling","ARID1B HNSC"
"ARID1B","LIHC","transcription initiation-coupled chromatin remodeling","ARID1B LIHC"
"ARID1B","ESCA","transcription initiation-coupled chromatin remodeling","ARID1B ESCA"
"ARID1B","UCS","transcription initiation-coupled chromatin remodeling","ARID1B UCS"
"ARID1B","CHOL","transcription initiation-coupled chromatin remodeling","ARID1B CHOL"
"ARID1B","SARC","transcription initiation-coupled chromatin remodeling","ARID1B SARC"
"ARID1B","COAD","transcription initiation-coupled chromatin remodeling","ARID1B COAD"
"ARID1B","BLCA","transcription initiation-coupled chromatin remodeling","ARID1B BLCA"
"ARID1B","PANCAN","transcription initiation-coupled chromatin remodeling","ARID1B PANCAN"
"ARID1B","UVM","transcription initiation-coupled chromatin remodeling","ARID1B UVM"
"ARID1B","LGG","transcription initiation-coupled chromatin remodeling","ARID1B LGG"
"ARID1B","PAAD","transcription initiation-coupled chromatin remodeling","ARID1B PAAD"
"ARID1B","READ","transcription initiation-coupled chromatin remodeling","ARID1B READ"
"ARID1B","SKCM","transcription initiation-coupled chromatin remodeling","ARID1B SKCM"
"ARID1B","GBM","transcription initiation-coupled chromatin remodeling","ARID1B GBM"
"ARID1B","OV","transcription initiation-coupled chromatin remodeling","ARID1B OV"
"ARID1B","UCEC","transcription initiation-coupled chromatin remodeling","ARID1B UCEC"
"ARID1B","BRCA","transcription initiation-coupled chromatin remodeling","ARID1B BRCA"
"ARID1B","CESC","transcription initiation-coupled chromatin remodeling","ARID1B CESC"
"ARID1B","LUAD","transcription initiation-coupled chromatin remodeling","ARID1B LUAD"
"ARID5B","HNSC","nitrogen compound metabolic process","ARID5B HNSC"
"ARID5B","LIHC","nitrogen compound metabolic process","ARID5B LIHC"
"ASH1L","PRAD","transcription by RNA polymerase II","ASH1L PRAD"
"ATF3","BRCA","gluconeogenesis","ATF3 BRCA"
"ATF3","KIRC","gluconeogenesis","ATF3 KIRC"
"ATF3","LIHC","gluconeogenesis","ATF3 LIHC"
"ATF3","UCEC","gluconeogenesis","ATF3 UCEC"
"ATF3","HNSC","gluconeogenesis","ATF3 HNSC"
"ATF3","BLCA","gluconeogenesis","ATF3 BLCA"
"ATF3","LUAD","gluconeogenesis","ATF3 LUAD"
"ATF3","KIRP","gluconeogenesis","ATF3 KIRP"
"ATF3","COAD","gluconeogenesis","ATF3 COAD"
"ATF3","PRAD","gluconeogenesis","ATF3 PRAD"
"ATF3","THCA","gluconeogenesis","ATF3 THCA"
"ATF7IP","LIHC","DNA methylation","ATF7IP LIHC"
"ATIC","LUAD","'de novo' XMP biosynthetic process","ATIC LUAD"
"ATIC","BLCA","'de novo' XMP biosynthetic process","ATIC BLCA"
"ATIC","PANCAN","'de novo' XMP biosynthetic process","ATIC PANCAN"
"ATIC","CESC","'de novo' XMP biosynthetic process","ATIC CESC"
"ATIC","LUSC","'de novo' XMP biosynthetic process","ATIC LUSC"
"ATIC","UCEC","'de novo' XMP biosynthetic process","ATIC UCEC"
"ATIC","STAD","'de novo' XMP biosynthetic process","ATIC STAD"
"ATIC","COAD","'de novo' XMP biosynthetic process","ATIC COAD"
"ATIC","HNSC","'de novo' XMP biosynthetic process","ATIC HNSC"
"ATIC","SKCM","'de novo' XMP biosynthetic process","ATIC SKCM"
