"Gene","Pathway","Cancer_type","new"
"ADAMTS9","O-linked glycosylation","LIHC","ADAMTS9 LIHC"
"ADAMTSL3","O-linked glycosylation","LIHC","ADAMTSL3 LIHC"
"ADAMTSL3","O-linked glycosylation","BRCA","ADAMTSL3 BRCA"
"ADCY8","PKA activation in glucagon signalling","PRAD","ADCY8 PRAD"
"ADCY8","PKA activation in glucagon signalling","ESCA","ADCY8 ESCA"
"AKT1","Metabolism of cofactors","PANCAN","AKT1 PANCAN"
"AKT1","Metabolism of cofactors","SKCM","AKT1 SKCM"
"AKT1","Metabolism of cofactors","ESCA","AKT1 ESCA"
"AKT1","Metabolism of cofactors","LUSC","AKT1 LUSC"
"AKT1","Metabolism of cofactors","COAD","AKT1 COAD"
"AKT1","Metabolism of cofactors","ACYC","AKT1 ACYC"
"AKT1","Metabolism of cofactors","LAML","AKT1 LAML"
"AKT1","Metabolism of cofactors","BRCA","AKT1 BRCA"
"AKT1","Metabolism of cofactors","UCEC","AKT1 UCEC"
"AKT1","Metabolism of cofactors","STAD","AKT1 STAD"
"AKT1","Metabolism of cofactors","THYM","AKT1 THYM"
"AKT1","Metabolism of cofactors","OS","AKT1 OS"
"AKT1","Metabolism of cofactors","NSCLC","AKT1 NSCLC"
"AKT1","Metabolism of cofactors","BLCA","AKT1 BLCA"
"AKT1","Metabolism of cofactors","CESC","AKT1 CESC"
"AKT1","Metabolism of cofactors","THCA","AKT1 THCA"
"AKT2","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","DLBC","AKT2 DLBC"
"AKT2","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","PANCAN","AKT2 PANCAN"
"AKT2","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","SKCM","AKT2 SKCM"
"AKT2","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","CESC","AKT2 CESC"
"AKT2","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","OV","AKT2 OV"
"AKT2","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","LUSC","AKT2 LUSC"
"AKT2","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","KIRP","AKT2 KIRP"
"AKT2","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","ESCA","AKT2 ESCA"
"AKT2","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","STAD","AKT2 STAD"
"AKT2","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","LUAD","AKT2 LUAD"
"AKT2","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","COAD","AKT2 COAD"
"AKT2","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","PAAD","AKT2 PAAD"
"AKT2","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","UCEC","AKT2 UCEC"
"AKT3","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","SKCM","AKT3 SKCM"
"AKT3","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","ESCA","AKT3 ESCA"
"AKT3","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","LUAD","AKT3 LUAD"
"AKT3","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","READ","AKT3 READ"
"AKT3","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","BLCA","AKT3 BLCA"
"AKT3","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","LUSC","AKT3 LUSC"
"AKT3","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","MESO","AKT3 MESO"
"AKT3","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","PANCAN","AKT3 PANCAN"
"AKT3","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","STAD","AKT3 STAD"
"AKT3","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","COAD","AKT3 COAD"
"AKT3","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","CESC","AKT3 CESC"
"AKT3","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","HNSC","AKT3 HNSC"
"AKT3","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","UCEC","AKT3 UCEC"
"ALB","Metabolism of porphyrins","HNSC","ALB HNSC"
"ALDH1A1","Fructose metabolism","BRCA","ALDH1A1 BRCA"
"ALDH1A1","Fructose metabolism","PRAD","ALDH1A1 PRAD"
"ALDH1A1","Fructose metabolism","STAD","ALDH1A1 STAD"
"ALDH1A1","Fructose metabolism","COAD","ALDH1A1 COAD"
"ALDH1A1","Fructose metabolism","KICH","ALDH1A1 KICH"
"ALDH1A1","Fructose metabolism","HNSC","ALDH1A1 HNSC"
"ALDH1A1","Fructose metabolism","KIRC","ALDH1A1 KIRC"
"ALDH1A1","Fructose metabolism","READ","ALDH1A1 READ"
"ALDH1A1","Fructose metabolism","LUAD","ALDH1A1 LUAD"
"ALDH1A1","Fructose metabolism","THCA","ALDH1A1 THCA"
"ALDH1A1","Fructose metabolism","BLCA","ALDH1A1 BLCA"
"ALDH2","Phase I - Functionalization of compounds","STAD","ALDH2 STAD"
"ALDH2","Phase I - Functionalization of compounds","SKCM","ALDH2 SKCM"
"ALDH2","Phase I - Functionalization of compounds","UCEC","ALDH2 UCEC"
"ALDH2","Phase I - Functionalization of compounds","CESC","ALDH2 CESC"
"ALDH2","Phase I - Functionalization of compounds","COAD","ALDH2 COAD"
"ALDH2","Phase I - Functionalization of compounds","ESCA","ALDH2 ESCA"
"ALDH2","Phase I - Functionalization of compounds","UVM","ALDH2 UVM"
"ALDH2","Phase I - Functionalization of compounds","UCS","ALDH2 UCS"
"ALDH2","Phase I - Functionalization of compounds","SARC","ALDH2 SARC"
"ALDH2","Phase I - Functionalization of compounds","READ","ALDH2 READ"
"ALDH2","Phase I - Functionalization of compounds","KIRP","ALDH2 KIRP"
"AMER1","Neddylation","DLBC","AMER1 DLBC"
"AMER1","Neddylation","HNSC","AMER1 HNSC"
"AMER1","Neddylation","PANCAN","AMER1 PANCAN"
"AMER1","Neddylation","LUAD","AMER1 LUAD"
"AMER1","Neddylation","STAD","AMER1 STAD"
"AMER1","Neddylation","LUSC","AMER1 LUSC"
"AMER1","Neddylation","SKCM","AMER1 SKCM"
"AMER1","Neddylation","THYM","AMER1 THYM"
"AMER1","Neddylation","CESC","AMER1 CESC"
"AMER1","Neddylation","BLCA","AMER1 BLCA"
"AMER1","Neddylation","WT","AMER1 WT"
"AMER1","Neddylation","OV","AMER1 OV"
"AMER1","Neddylation","PAAD","AMER1 PAAD"
"AMER1","Neddylation","UCEC","AMER1 UCEC"
"AMER1","Neddylation","BRCA","AMER1 BRCA"
"AMER1","Neddylation","UCS","AMER1 UCS"
"AMER1","Neddylation","NBL","AMER1 NBL"
"AMER1","Neddylation","PCPCG","AMER1 PCPCG"
"AMER1","Neddylation","KIRP","AMER1 KIRP"
"AMER1","Neddylation","LIHC","AMER1 LIHC"
"AMER1","Neddylation","READ","AMER1 READ"
"AMER1","Neddylation","COAD","AMER1 COAD"
"ANK1","Asparagine N-linked glycosylation","OV","ANK1 OV"
"ANK1","Asparagine N-linked glycosylation","LIHC","ANK1 LIHC"
"ANK1","Asparagine N-linked glycosylation","READ","ANK1 READ"
"ANK1","Asparagine N-linked glycosylation","COAD","ANK1 COAD"
"ANK1","Asparagine N-linked glycosylation","SARC","ANK1 SARC"
"ANK1","Asparagine N-linked glycosylation","CESC","ANK1 CESC"
"ANK1","Asparagine N-linked glycosylation","OS","ANK1 OS"
"ANK1","Asparagine N-linked glycosylation","UCEC","ANK1 UCEC"
"ANK1","Asparagine N-linked glycosylation","LUAD","ANK1 LUAD"
"ANK1","Asparagine N-linked glycosylation","BRCA","ANK1 BRCA"
"ANK1","Asparagine N-linked glycosylation","PANCAN","ANK1 PANCAN"
"ANK1","Asparagine N-linked glycosylation","HNSC","ANK1 HNSC"
"ANK1","Asparagine N-linked glycosylation","PRAD","ANK1 PRAD"
"ANK1","Asparagine N-linked glycosylation","ESCA","ANK1 ESCA"
"ANK1","Asparagine N-linked glycosylation","SKCM","ANK1 SKCM"
"ANK1","Asparagine N-linked glycosylation","DLBC","ANK1 DLBC"
"ANK1","Asparagine N-linked glycosylation","GBM","ANK1 GBM"
"ANK1","Asparagine N-linked glycosylation","STAD","ANK1 STAD"
"ANK1","Asparagine N-linked glycosylation","LUSC","ANK1 LUSC"
"ANK1","Asparagine N-linked glycosylation","UCS","ANK1 UCS"
"ANK1","Asparagine N-linked glycosylation","PAAD","ANK1 PAAD"
"ANK1","Asparagine N-linked glycosylation","CHOL","ANK1 CHOL"
"ANK1","Asparagine N-linked glycosylation","BLCA","ANK1 BLCA"
"ANK1","Asparagine N-linked glycosylation","MESO","ANK1 MESO"
"ANK1","Asparagine N-linked glycosylation","KIRP","ANK1 KIRP"
"ANK2","Transport to the Golgi and subsequent modification","LUAD","ANK2 LUAD"
"ANK2","Transport to the Golgi and subsequent modification","PRAD","ANK2 PRAD"
"ANK2","Transport to the Golgi and subsequent modification","KIRC","ANK2 KIRC"
"ANK3","Transport to the Golgi and subsequent modification","HNSC","ANK3 HNSC"
"ANK3","Transport to the Golgi and subsequent modification","PRAD","ANK3 PRAD"
"ANK3","Transport to the Golgi and subsequent modification","BRCA","ANK3 BRCA"
"ANK3","Transport to the Golgi and subsequent modification","KIRC","ANK3 KIRC"
"ANK3","Transport to the Golgi and subsequent modification","KIRP","ANK3 KIRP"
"ANPEP","Peptide hormone metabolism","KIRP","ANPEP KIRP"
"AOX1","Metabolism","LIHC","AOX1 LIHC"
"APC","Metabolism of proteins","ANSC","APC ANSC"
"APC","Metabolism of proteins","KIRC","APC KIRC"
"APC","Metabolism of proteins","WT","APC WT"
"APC","Metabolism of proteins","UVM","APC UVM"
"APC","Metabolism of proteins","KIRP","APC KIRP"
"APC","Metabolism of proteins","LIHC","APC LIHC"
"APC","Metabolism of proteins","SARC","APC SARC"
"APC","Metabolism of proteins","PANCAN","APC PANCAN"
"APC","Metabolism of proteins","DLBC","APC DLBC"
"APC","Metabolism of proteins","CHOL","APC CHOL"
"APC","Metabolism of proteins","OV","APC OV"
"APC","Metabolism of proteins","LUAD","APC LUAD"
"APC","Metabolism of proteins","STAD","APC STAD"
"APC","Metabolism of proteins","VULVA","APC VULVA"
"APC","Metabolism of proteins","CESC","APC CESC"
"APC","Metabolism of proteins","BLCA","APC BLCA"
"APC","Metabolism of proteins","PAAD","APC PAAD"
"APC","Metabolism of proteins","BRCA","APC BRCA"
"APC","Metabolism of proteins","SKCM","APC SKCM"
"APC","Metabolism of proteins","SBC","APC SBC"
"APC","Metabolism of proteins","GBM","APC GBM"
"APC","Metabolism of proteins","COAD","APC COAD"
"APC","Metabolism of proteins","LUSC","APC LUSC"
"APC","Metabolism of proteins","UCEC","APC UCEC"
"APC","Metabolism of proteins","HNSC","APC HNSC"
"APC","Metabolism of proteins","PRAD","APC PRAD"
"APC","Metabolism of proteins","READ","APC READ"
"APC","Metabolism of proteins","UCS","APC UCS"
"APC","Metabolism of proteins","ESCA","APC ESCA"
"APOB","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","LIHC","APOB LIHC"
"APOB","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","PRAD","APOB PRAD"
"APOB","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","LUAD","APOB LUAD"
"AR","Post-translational protein modification","DLBC","AR DLBC"
"AR","Post-translational protein modification","CESC","AR CESC"
"AR","Post-translational protein modification","BRCA","AR BRCA"
"AR","Post-translational protein modification","READ","AR READ"
"AR","Post-translational protein modification","LUSC","AR LUSC"
"AR","Post-translational protein modification","COAD","AR COAD"
"AR","Post-translational protein modification","UCEC","AR UCEC"
"AR","Post-translational protein modification","BLCA","AR BLCA"
"AR","Post-translational protein modification","LUAD","AR LUAD"
"AR","Post-translational protein modification","SARC","AR SARC"
"AR","Post-translational protein modification","CHOL","AR CHOL"
"AR","Post-translational protein modification","STAD","AR STAD"
"AR","Post-translational protein modification","SKCM","AR SKCM"
"AR","Post-translational protein modification","PANCAN","AR PANCAN"
"AR","Post-translational protein modification","ESCA","AR ESCA"
"AR","Post-translational protein modification","LIHC","AR LIHC"
"AR","Post-translational protein modification","HNSC","AR HNSC"
"AR","Post-translational protein modification","PCM","AR PCM"
"AR","Post-translational protein modification","GBM","AR GBM"
"AR","Post-translational protein modification","OV","AR OV"
"ARNT","Phase I - Functionalization of compounds","READ","ARNT READ"
"ARNT","Phase I - Functionalization of compounds","CESC","ARNT CESC"
"ARNT","Phase I - Functionalization of compounds","BLCA","ARNT BLCA"
"ARNT","Phase I - Functionalization of compounds","UCEC","ARNT UCEC"
"ARNT","Phase I - Functionalization of compounds","PCPCG","ARNT PCPCG"
"ARNT","Phase I - Functionalization of compounds","SKCM","ARNT SKCM"
"ARNT","Phase I - Functionalization of compounds","LUSC","ARNT LUSC"
"ARNT","Phase I - Functionalization of compounds","LUAD","ARNT LUAD"
"ARNT","Phase I - Functionalization of compounds","HNSC","ARNT HNSC"
"ARNT","Phase I - Functionalization of compounds","COAD","ARNT COAD"
"ARNT","Phase I - Functionalization of compounds","PCPG","ARNT PCPG"
"ARNT","Phase I - Functionalization of compounds","PANCAN","ARNT PANCAN"
"ARNT","Phase I - Functionalization of compounds","STAD","ARNT STAD"
"ASXL1","Metabolism of proteins","CESC","ASXL1 CESC"
"ASXL1","Metabolism of proteins","WT","ASXL1 WT"
"ASXL1","Metabolism of proteins","OV","ASXL1 OV"
"ASXL1","Metabolism of proteins","LUSC","ASXL1 LUSC"
"ASXL1","Metabolism of proteins","READ","ASXL1 READ"
"ASXL1","Metabolism of proteins","KIRC","ASXL1 KIRC"
"ASXL1","Metabolism of proteins","CLLE","ASXL1 CLLE"
"ASXL1","Metabolism of proteins","BRCA","ASXL1 BRCA"
"ASXL1","Metabolism of proteins","UCEC","ASXL1 UCEC"
"ASXL1","Metabolism of proteins","LUAD","ASXL1 LUAD"
"ASXL1","Metabolism of proteins","DLBC","ASXL1 DLBC"
"ASXL1","Metabolism of proteins","PANCAN","ASXL1 PANCAN"
"ASXL1","Metabolism of proteins","STAD","ASXL1 STAD"
"ASXL1","Metabolism of proteins","BLCA","ASXL1 BLCA"
"ASXL1","Metabolism of proteins","MESO","ASXL1 MESO"
"ASXL1","Metabolism of proteins","GBM","ASXL1 GBM"
"ASXL1","Metabolism of proteins","THYM","ASXL1 THYM"
"ASXL1","Metabolism of proteins","ESCA","ASXL1 ESCA"
"ASXL1","Metabolism of proteins","LAML","ASXL1 LAML"
"ASXL1","Metabolism of proteins","SARC","ASXL1 SARC"
"ASXL1","Metabolism of proteins","COAD","ASXL1 COAD"
"ASXL1","Metabolism of proteins","HNSC","ASXL1 HNSC"
"ASXL1","Metabolism of proteins","SKCM","ASXL1 SKCM"
"ASXL1","Metabolism of proteins","LIHC","ASXL1 LIHC"
"ASXL2","Metabolism of proteins","UCEC","ASXL2 UCEC"
"ASXL2","Metabolism of proteins","COAD","ASXL2 COAD"
"ASXL2","Metabolism of proteins","HNSC","ASXL2 HNSC"
"ASXL2","Metabolism of proteins","READ","ASXL2 READ"
"ASXL2","Metabolism of proteins","ESCA","ASXL2 ESCA"
"ASXL2","Metabolism of proteins","SKCM","ASXL2 SKCM"
"ASXL2","Metabolism of proteins","CESC","ASXL2 CESC"
"ASXL2","Metabolism of proteins","PANCAN","ASXL2 PANCAN"
"ASXL2","Metabolism of proteins","KIRC","ASXL2 KIRC"
"ASXL2","Metabolism of proteins","LIHC","ASXL2 LIHC"
"ASXL2","Metabolism of proteins","LUAD","ASXL2 LUAD"
"ASXL2","Metabolism of proteins","LUSC","ASXL2 LUSC"
"ASXL2","Metabolism of proteins","BLCA","ASXL2 BLCA"
"ASXL2","Metabolism of proteins","UCS","ASXL2 UCS"
"ASXL2","Metabolism of proteins","STAD","ASXL2 STAD"
"ASXL2","Metabolism of proteins","SARC","ASXL2 SARC"
"ASXL2","Metabolism of proteins","LAML","ASXL2 LAML"
"ASXL2","Metabolism of proteins","BRCA","ASXL2 BRCA"
"ATIC","Nucleotide biosynthesis","STAD","ATIC STAD"
"ATIC","Nucleotide biosynthesis","BLCA","ATIC BLCA"
"ATIC","Nucleotide biosynthesis","HNSC","ATIC HNSC"
"ATIC","Nucleotide biosynthesis","CESC","ATIC CESC"
"ATIC","Nucleotide biosynthesis","LUAD","ATIC LUAD"
"ATIC","Nucleotide biosynthesis","COAD","ATIC COAD"
"ATIC","Nucleotide biosynthesis","SKCM","ATIC SKCM"
"ATIC","Nucleotide biosynthesis","LUSC","ATIC LUSC"
"ATIC","Nucleotide biosynthesis","UCEC","ATIC UCEC"
"ATIC","Nucleotide biosynthesis","PANCAN","ATIC PANCAN"
"AURKA","Post-translational protein modification","STAD","AURKA STAD"
"AURKA","Post-translational protein modification","BRCA","AURKA BRCA"
"AURKA","Post-translational protein modification","LIHC","AURKA LIHC"
"AXIN1","Metabolism of proteins","PANCAN","AXIN1 PANCAN"
"AXIN1","Metabolism of proteins","LIHC","AXIN1 LIHC"
"AXIN1","Metabolism of proteins","SARC","AXIN1 SARC"
"AXIN1","Metabolism of proteins","KIRP","AXIN1 KIRP"
"AXIN1","Metabolism of proteins","PAAD","AXIN1 PAAD"
"AXIN1","Metabolism of proteins","BRCA","AXIN1 BRCA"
"AXIN1","Metabolism of proteins","CHOL","AXIN1 CHOL"
"AXIN1","Metabolism of proteins","GBM","AXIN1 GBM"
"AXIN1","Metabolism of proteins","PRAD","AXIN1 PRAD"
"AXIN1","Metabolism of proteins","HNSC","AXIN1 HNSC"
"AXIN1","Metabolism of proteins","ESCA","AXIN1 ESCA"
"AXIN1","Metabolism of proteins","MBL","AXIN1 MBL"
"AXIN1","Metabolism of proteins","LUSC","AXIN1 LUSC"
"AXIN1","Metabolism of proteins","SKCM","AXIN1 SKCM"
"AXIN1","Metabolism of proteins","READ","AXIN1 READ"
"AXIN1","Metabolism of proteins","COAD","AXIN1 COAD"
"AXIN1","Metabolism of proteins","UCEC","AXIN1 UCEC"
"AXIN1","Metabolism of proteins","LUAD","AXIN1 LUAD"
"AXIN1","Metabolism of proteins","STAD","AXIN1 STAD"
"AXIN2","Deubiquitination","LUSC","AXIN2 LUSC"
"AXIN2","Deubiquitination","CHOL","AXIN2 CHOL"
"AXIN2","Deubiquitination","LIHC","AXIN2 LIHC"
"AXIN2","Deubiquitination","MESO","AXIN2 MESO"
"AXIN2","Deubiquitination","CESC","AXIN2 CESC"
"AXIN2","Deubiquitination","STAD","AXIN2 STAD"
"AXIN2","Deubiquitination","COAD","AXIN2 COAD"
"AXIN2","Deubiquitination","READ","AXIN2 READ"
"AXIN2","Deubiquitination","HNSC","AXIN2 HNSC"
"AXIN2","Deubiquitination","SKCM","AXIN2 SKCM"
"AXIN2","Deubiquitination","BLCA","AXIN2 BLCA"
"AXIN2","Deubiquitination","PANCAN","AXIN2 PANCAN"
"AXIN2","Deubiquitination","LUAD","AXIN2 LUAD"
"AXIN2","Deubiquitination","COADREAD","AXIN2 COADREAD"
"AXIN2","Deubiquitination","UCEC","AXIN2 UCEC"
"AXIN2","Deubiquitination","SARC","AXIN2 SARC"
"AXIN2","Deubiquitination","ESCA","AXIN2 ESCA"
"B2M","Metabolism of proteins","CESC","B2M CESC"
"B2M","Metabolism of proteins","CGCI-BLGSP","B2M CGCI-BLGSP"
"B2M","Metabolism of proteins","STAD","B2M STAD"
"B2M","Metabolism of proteins","READ","B2M READ"
"B2M","Metabolism of proteins","COAD","B2M COAD"
"B2M","Metabolism of proteins","PANCAN","B2M PANCAN"
"B2M","Metabolism of proteins","UCEC","B2M UCEC"
"B2M","Metabolism of proteins","CHOL","B2M CHOL"
"B2M","Metabolism of proteins","COADREAD","B2M COADREAD"
"B2M","Metabolism of proteins","HNSC","B2M HNSC"
"B2M","Metabolism of proteins","LUAD","B2M LUAD"
"B2M","Metabolism of proteins","DLBC","B2M DLBC"
"B2M","Metabolism of proteins","SKCM","B2M SKCM"
"B2M","Metabolism of proteins","LUSC","B2M LUSC"
"BAP1","Post-translational protein modification","BLCA","BAP1 BLCA"
"BAP1","Post-translational protein modification","UVM","BAP1 UVM"
"BAP1","Post-translational protein modification","BRCA","BAP1 BRCA"
"BAP1","Post-translational protein modification","LUAD","BAP1 LUAD"
"BAP1","Post-translational protein modification","COAD","BAP1 COAD"
"BAP1","Post-translational protein modification","PANCAN","BAP1 PANCAN"
"BAP1","Post-translational protein modification","LIHC","BAP1 LIHC"
"BAP1","Post-translational protein modification","UCEC","BAP1 UCEC"
"BAP1","Post-translational protein modification","SARC","BAP1 SARC"
"BAP1","Post-translational protein modification","STAD","BAP1 STAD"
"BAP1","Post-translational protein modification","PAAD","BAP1 PAAD"
"BAP1","Post-translational protein modification","KIRP","BAP1 KIRP"
"BAP1","Post-translational protein modification","CESC","BAP1 CESC"
"BAP1","Post-translational protein modification","SKCM","BAP1 SKCM"
"BAP1","Post-translational protein modification","CHOL","BAP1 CHOL"
"BAP1","Post-translational protein modification","MESO","BAP1 MESO"
"BAP1","Post-translational protein modification","KIRC","BAP1 KIRC"
"BAP1","Post-translational protein modification","LUSC","BAP1 LUSC"
"BARD1","Metalloprotease DUBs","COAD","BARD1 COAD"
"BARD1","Metalloprotease DUBs","ESCA","BARD1 ESCA"
"BARD1","Metalloprotease DUBs","READ","BARD1 READ"
"BARD1","Metalloprotease DUBs","LUSC","BARD1 LUSC"
"BARD1","Metalloprotease DUBs","PAAD","BARD1 PAAD"
"BARD1","Metalloprotease DUBs","PANCAN","BARD1 PANCAN"
"BARD1","Metalloprotease DUBs","STAD","BARD1 STAD"
"BARD1","Metalloprotease DUBs","LUAD","BARD1 LUAD"
"BARD1","Metalloprotease DUBs","HNSC","BARD1 HNSC"
"BARD1","Metalloprotease DUBs","LIHC","BARD1 LIHC"
"BARD1","Metalloprotease DUBs","UCEC","BARD1 UCEC"
"BARD1","Metalloprotease DUBs","UCS","BARD1 UCS"
"BARD1","Metalloprotease DUBs","CESC","BARD1 CESC"
"BARD1","Metalloprotease DUBs","BLCA","BARD1 BLCA"
"BCL10","Protein ubiquitination","UCEC","BCL10 UCEC"
"BCL10","Protein ubiquitination","UCS","BCL10 UCS"
"BCL10","Protein ubiquitination","CGCI-BLGSP","BCL10 CGCI-BLGSP"
"BCL10","Protein ubiquitination","COAD","BCL10 COAD"
"BCL10","Protein ubiquitination","NHL","BCL10 NHL"
"BCL10","Protein ubiquitination","DLBC","BCL10 DLBC"
"BCL10","Protein ubiquitination","STAD","BCL10 STAD"
"BIRC3","Metabolism of proteins","CHOL","BIRC3 CHOL"
"BIRC3","Metabolism of proteins","KIRC","BIRC3 KIRC"
"BIRC3","Metabolism of proteins","STAD","BIRC3 STAD"
"BIRC3","Metabolism of proteins","MBL","BIRC3 MBL"
"BIRC3","Metabolism of proteins","UCEC","BIRC3 UCEC"
"BIRC3","Metabolism of proteins","NHL","BIRC3 NHL"
"BIRC3","Metabolism of proteins","DLBC","BIRC3 DLBC"
"BIRC3","Metabolism of proteins","THYM","BIRC3 THYM"
"BIRC3","Metabolism of proteins","KICH","BIRC3 KICH"
"BIRC3","Metabolism of proteins","PANCAN","BIRC3 PANCAN"
"BIRC3","Metabolism of proteins","LUSC","BIRC3 LUSC"
"BIRC3","Metabolism of proteins","SKCM","BIRC3 SKCM"
"BIRC3","Metabolism of proteins","THCA","BIRC3 THCA"
"BIRC3","Metabolism of proteins","COAD","BIRC3 COAD"
"BIRC3","Metabolism of proteins","READ","BIRC3 READ"
"BLM","Metabolism of proteins","BRCA","BLM BRCA"
"BLM","Metabolism of proteins","DLBC","BLM DLBC"
"BLM","Metabolism of proteins","PANCAN","BLM PANCAN"
"BLM","Metabolism of proteins","ESCA","BLM ESCA"
"BLM","Metabolism of proteins","HNSC","BLM HNSC"
"BLM","Metabolism of proteins","LUAD","BLM LUAD"
"BLM","Metabolism of proteins","LUSC","BLM LUSC"
"BLM","Metabolism of proteins","SKCM","BLM SKCM"
"BLM","Metabolism of proteins","NBL","BLM NBL"
"BLM","Metabolism of proteins","LAML","BLM LAML"
"BLM","Metabolism of proteins","READ","BLM READ"
"BLM","Metabolism of proteins","LIHC","BLM LIHC"
"BLM","Metabolism of proteins","CESC","BLM CESC"
"BLM","Metabolism of proteins","KIRC","BLM KIRC"
"BLM","Metabolism of proteins","COAD","BLM COAD"
"BLM","Metabolism of proteins","STAD","BLM STAD"
"BLM","Metabolism of proteins","GBM","BLM GBM"
"BLM","Metabolism of proteins","UCEC","BLM UCEC"
"BLM","Metabolism of proteins","BLCA","BLM BLCA"
"BRCA1","SUMOylation of DNA damage response and repair proteins","BLCA","BRCA1 BLCA"
"BRCA1","SUMOylation of DNA damage response and repair proteins","UCEC","BRCA1 UCEC"
"BRCA1","SUMOylation of DNA damage response and repair proteins","LIHC","BRCA1 LIHC"
"BRCA1","SUMOylation of DNA damage response and repair proteins","LUAD","BRCA1 LUAD"
"BRCA1","SUMOylation of DNA damage response and repair proteins","BRCA","BRCA1 BRCA"
"BRCA1","SUMOylation of DNA damage response and repair proteins","PAAD","BRCA1 PAAD"
"BRCA1","SUMOylation of DNA damage response and repair proteins","ESCA","BRCA1 ESCA"
