"","CancerType","Pathway","Gene"
"47","COADREAD","Glycolysis / Gluconeogenesis","LDHAL6B"
"48","COADREAD","Glycolysis / Gluconeogenesis","LDHA"
"49","COADREAD","Glycolysis / Gluconeogenesis","LDHB"
"50","COADREAD","Glycolysis / Gluconeogenesis","LDHC"
"51","LGG","Glycolysis / Gluconeogenesis","PGK1"
"52","PCPG","Glycolysis / Gluconeogenesis","PKLR"
"53","COADREAD","Glycolysis / Gluconeogenesis","ADH1C"
"54","LGG","Glycolysis / Gluconeogenesis","PGAM4"
"55","LGG","Glycolysis / Gluconeogenesis","ENO3"
"56","OS","Glycolysis / Gluconeogenesis","ADH5"
"57","OS","Glycolysis / Gluconeogenesis","HK1"
"58","OS","Glycolysis / Gluconeogenesis","ADH6"
"59","OS","Glycolysis / Gluconeogenesis","AKR1A1"
"60","PCPG","Glycolysis / Gluconeogenesis","LDHAL6B"
"61","COADREAD","Glycolysis / Gluconeogenesis","ALDH7A1"
"62","COADREAD","Glycolysis / Gluconeogenesis","ALDH9A1"
"63","COADREAD","Glycolysis / Gluconeogenesis","ALDH3B1"
"64","PCPG","Glycolysis / Gluconeogenesis","ADH1B"
"65","PCPG","Glycolysis / Gluconeogenesis","ADH1C"
"66","PCPG","Glycolysis / Gluconeogenesis","ADH7"
"67","COADREAD","Glycolysis / Gluconeogenesis","ADH7"
"68","COADREAD","Glycolysis / Gluconeogenesis","ADH4"
"69","OS","Glycolysis / Gluconeogenesis","HK3"
"70","OS","Glycolysis / Gluconeogenesis","PGM1"
"71","OS","Glycolysis / Gluconeogenesis","PGM2"
"72","OS","Glycolysis / Gluconeogenesis","G6PC1"
"73","OS","Glycolysis / Gluconeogenesis","G6PC2"
"74","OS","Glycolysis / Gluconeogenesis","G6PC3"
"75","OS","Glycolysis / Gluconeogenesis","ADPGK"
"76","OS","Glycolysis / Gluconeogenesis","BPGM"
"77","COADREAD","Glycolysis / Gluconeogenesis","BPGM"
"78","OS","Glycolysis / Gluconeogenesis","PCK1"
"79","COADREAD","Glycolysis / Gluconeogenesis","PCK1"
"80","COADREAD","Glycolysis / Gluconeogenesis","PCK2"
"81","LGG","Glycolysis / Gluconeogenesis","PFKP"
"82","LGG","Glycolysis / Gluconeogenesis","PFKL"
"83","LGG","Glycolysis / Gluconeogenesis","FBP1"
"84","PCPG","Glycolysis / Gluconeogenesis","GALM"
"85","PCPG","Glycolysis / Gluconeogenesis","PGM1"
"86","COADREAD","Glycolysis / Gluconeogenesis","LDHAL6A"
"87","LGG","Glycolysis / Gluconeogenesis","ALDOB"
"88","LGG","Glycolysis / Gluconeogenesis","TPI1"
"89","LGG","Glycolysis / Gluconeogenesis","GAPDH"
"90","PCPG","Glycolysis / Gluconeogenesis","ENO3"
"91","COADREAD","Glycolysis / Gluconeogenesis","ADH1A"
"92","COADREAD","Glycolysis / Gluconeogenesis","ADH1B"
"93","PCPG","Glycolysis / Gluconeogenesis","ENO1"
"94","PCPG","Glycolysis / Gluconeogenesis","ENO4"
"95","LGG","Glycolysis / Gluconeogenesis","PGAM2"
"96","OS","Glycolysis / Gluconeogenesis","ADH7"
"97","OS","Glycolysis / Gluconeogenesis","ADH4"
"98","OS","Glycolysis / Gluconeogenesis","HK2"
"99","OS","Glycolysis / Gluconeogenesis","HKDC1"
"100","OS","Glycolysis / Gluconeogenesis","GCK"
"101","OS","Glycolysis / Gluconeogenesis","ALDH1B1"
"102","OS","Glycolysis / Gluconeogenesis","ALDH7A1"
"103","OS","Glycolysis / Gluconeogenesis","ALDH9A1"
"104","COADREAD","Glycolysis / Gluconeogenesis","ALDH3B2"
"105","COADREAD","Glycolysis / Gluconeogenesis","ALDH3A1"
"106","COADREAD","Glycolysis / Gluconeogenesis","ACSS1"
"107","LGG","Glycolysis / Gluconeogenesis","LDHA"
"108","LGG","Glycolysis / Gluconeogenesis","LDHB"
"109","LGG","Glycolysis / Gluconeogenesis","LDHC"
"110","PCPG","Glycolysis / Gluconeogenesis","HK1"
"111","PCPG","Glycolysis / Gluconeogenesis","HK2"
"112","PCPG","Glycolysis / Gluconeogenesis","HKDC1"
"113","PCPG","Glycolysis / Gluconeogenesis","GCK"
"114","PCPG","Glycolysis / Gluconeogenesis","GPI"
"115","LGG","Glycolysis / Gluconeogenesis","HK3"
"116","COADREAD","Glycolysis / Gluconeogenesis","ADPGK"
"117","LGG","Glycolysis / Gluconeogenesis","ADH4"
"118","COADREAD","Glycolysis / Gluconeogenesis","MINPP1"
"119","LGG","Glycolysis / Gluconeogenesis","ADH6"
"120","LGG","Glycolysis / Gluconeogenesis","AKR1A1"
"121","LGG","Glycolysis / Gluconeogenesis","ALDH2"
"122","LGG","Glycolysis / Gluconeogenesis","ALDH3A2"
"123","LGG","Glycolysis / Gluconeogenesis","ALDH1B1"
"124","LGG","Glycolysis / Gluconeogenesis","FBP2"
"125","LGG","Glycolysis / Gluconeogenesis","ALDOC"
"126","LGG","Glycolysis / Gluconeogenesis","ALDOA"
"127","LGG","Glycolysis / Gluconeogenesis","ALDH3B2"
"128","LGG","Glycolysis / Gluconeogenesis","ALDH3A1"
"129","PCPG","Glycolysis / Gluconeogenesis","G6PC2"
"130","PCPG","Glycolysis / Gluconeogenesis","G6PC3"
"131","PCPG","Glycolysis / Gluconeogenesis","PGAM4"
"132","PCPG","Glycolysis / Gluconeogenesis","ENO2"
"133","COADREAD","Glycolysis / Gluconeogenesis","HK3"
"134","COADREAD","Glycolysis / Gluconeogenesis","HK1"
"135","COADREAD","Glycolysis / Gluconeogenesis","HK2"
"136","COADREAD","Glycolysis / Gluconeogenesis","HKDC1"
"137","COADREAD","Glycolysis / Gluconeogenesis","GCK"
"138","OS","Glycolysis / Gluconeogenesis","ADH1B"
"139","COADREAD","Glycolysis / Gluconeogenesis","GPI"
"140","COADREAD","Glycolysis / Gluconeogenesis","PFKM"
"141","OS","Glycolysis / Gluconeogenesis","GPI"
"142","OS","Glycolysis / Gluconeogenesis","PFKM"
"143","OS","Glycolysis / Gluconeogenesis","PFKP"
"144","OS","Glycolysis / Gluconeogenesis","ALDH3B1"
"145","OS","Glycolysis / Gluconeogenesis","ALDH3B2"
"146","OS","Glycolysis / Gluconeogenesis","ALDH3A1"
"147","OS","Glycolysis / Gluconeogenesis","ACSS1"
"148","OS","Glycolysis / Gluconeogenesis","ACSS2"
"149","OS","Glycolysis / Gluconeogenesis","GALM"
"150","OS","Glycolysis / Gluconeogenesis","ALDOA"
"151","COADREAD","Glycolysis / Gluconeogenesis","GALM"
"152","PCPG","Glycolysis / Gluconeogenesis","ADH4"
"153","LGG","Glycolysis / Gluconeogenesis","ADH1A"
"154","LGG","Glycolysis / Gluconeogenesis","ADH1B"
"155","LGG","Glycolysis / Gluconeogenesis","ADH1C"
"156","LGG","Glycolysis / Gluconeogenesis","ADH7"
"157","COADREAD","Glycolysis / Gluconeogenesis","ENO3"
"158","LGG","Glycolysis / Gluconeogenesis","ADH5"
"159","COADREAD","Glycolysis / Gluconeogenesis","ENO4"
"160","COADREAD","Glycolysis / Gluconeogenesis","PKM"
"161","COADREAD","Glycolysis / Gluconeogenesis","PKLR"
"162","COADREAD","Glycolysis / Gluconeogenesis","PDHA2"
"163","COADREAD","Glycolysis / Gluconeogenesis","PDHA1"
"164","LGG","Glycolysis / Gluconeogenesis","ALDH7A1"
"165","LGG","Glycolysis / Gluconeogenesis","ALDH9A1"
"166","LGG","Glycolysis / Gluconeogenesis","ALDH3B1"
"167","PCPG","Glycolysis / Gluconeogenesis","GAPDHS"
"168","PCPG","Glycolysis / Gluconeogenesis","PGK2"
"169","PCPG","Glycolysis / Gluconeogenesis","PGK1"
"170","PCPG","Glycolysis / Gluconeogenesis","PGAM1"
"171","PCPG","Glycolysis / Gluconeogenesis","PGAM2"
"172","OS","Glycolysis / Gluconeogenesis","LDHAL6A"
"173","OS","Glycolysis / Gluconeogenesis","LDHAL6B"
"174","OS","Glycolysis / Gluconeogenesis","LDHA"
"175","LGG","Glycolysis / Gluconeogenesis","PGAM1"
"176","OS","Glycolysis / Gluconeogenesis","ADH1C"
"177","OS","Glycolysis / Gluconeogenesis","ADH1A"
"178","LGG","Glycolysis / Gluconeogenesis","ADPGK"
"179","PCPG","Glycolysis / Gluconeogenesis","PCK2"
"180","LGG","Glycolysis / Gluconeogenesis","BPGM"
"181","OS","Glycolysis / Gluconeogenesis","ALDH2"
"182","OS","Glycolysis / Gluconeogenesis","ALDH3A2"
"183","LGG","Glycolysis / Gluconeogenesis","PCK2"
"184","OS","Glycolysis / Gluconeogenesis","PFKL"
"185","OS","Glycolysis / Gluconeogenesis","FBP1"
"186","OS","Glycolysis / Gluconeogenesis","FBP2"
"187","OS","Glycolysis / Gluconeogenesis","ALDOC"
"188","COADREAD","Glycolysis / Gluconeogenesis","ACSS2"
"189","PCPG","Glycolysis / Gluconeogenesis","HK3"
"190","COADREAD","Glycolysis / Gluconeogenesis","TPI1"
"191","COADREAD","Glycolysis / Gluconeogenesis","GAPDH"
"192","COADREAD","Glycolysis / Gluconeogenesis","PGM1"
"193","COADREAD","Glycolysis / Gluconeogenesis","PGM2"
"194","COADREAD","Glycolysis / Gluconeogenesis","G6PC1"
"195","COADREAD","Glycolysis / Gluconeogenesis","G6PC2"
"196","COADREAD","Glycolysis / Gluconeogenesis","G6PC3"
"197","OS","Glycolysis / Gluconeogenesis","PGAM1"
"198","OS","Glycolysis / Gluconeogenesis","PGAM2"
"199","OS","Glycolysis / Gluconeogenesis","PGAM4"
"200","OS","Glycolysis / Gluconeogenesis","ENO3"
"201","OS","Glycolysis / Gluconeogenesis","ENO2"
"202","PCPG","Glycolysis / Gluconeogenesis","ALDOC"
"203","PCPG","Glycolysis / Gluconeogenesis","ALDOA"
"204","PCPG","Glycolysis / Gluconeogenesis","ALDOB"
"205","PCPG","Glycolysis / Gluconeogenesis","TPI1"
"206","PCPG","Glycolysis / Gluconeogenesis","GAPDH"
"207","COADREAD","Glycolysis / Gluconeogenesis","DLD"
"208","OS","Glycolysis / Gluconeogenesis","PDHA2"
"209","OS","Glycolysis / Gluconeogenesis","PDHA1"
"210","LGG","Glycolysis / Gluconeogenesis","ACSS1"
"211","LGG","Glycolysis / Gluconeogenesis","ACSS2"
"212","LGG","Glycolysis / Gluconeogenesis","GALM"
"213","LGG","Glycolysis / Gluconeogenesis","PGM1"
"214","LGG","Glycolysis / Gluconeogenesis","PGM2"
"215","LGG","Glycolysis / Gluconeogenesis","G6PC1"
"216","LGG","Glycolysis / Gluconeogenesis","G6PC2"
"217","LGG","Glycolysis / Gluconeogenesis","G6PC3"
"218","PCPG","Glycolysis / Gluconeogenesis","PCK1"
"219","COADREAD","Glycolysis / Gluconeogenesis","GAPDHS"
"220","COADREAD","Glycolysis / Gluconeogenesis","PGK2"
"221","LGG","Glycolysis / Gluconeogenesis","MINPP1"
"222","LGG","Glycolysis / Gluconeogenesis","PCK1"
"223","PCPG","Glycolysis / Gluconeogenesis","AKR1A1"
"224","PCPG","Glycolysis / Gluconeogenesis","ALDH2"
"225","COADREAD","Glycolysis / Gluconeogenesis","PFKP"
"226","COADREAD","Glycolysis / Gluconeogenesis","PFKL"
"227","COADREAD","Glycolysis / Gluconeogenesis","FBP1"
"228","COADREAD","Glycolysis / Gluconeogenesis","FBP2"
"229","COADREAD","Glycolysis / Gluconeogenesis","ALDOC"
"230","COADREAD","Glycolysis / Gluconeogenesis","ALDOB"
"231","PCPG","Glycolysis / Gluconeogenesis","ALDH3A1"
"232","PCPG","Glycolysis / Gluconeogenesis","ACSS1"
"233","PCPG","Glycolysis / Gluconeogenesis","ACSS2"
"234","PCPG","Glycolysis / Gluconeogenesis","ADH5"
"235","PCPG","Glycolysis / Gluconeogenesis","ADH6"
"236","COADREAD","Glycolysis / Gluconeogenesis","PGAM1"
"237","OS","Glycolysis / Gluconeogenesis","PDHB"
"238","PCPG","Glycolysis / Gluconeogenesis","ALDH3A2"
"239","PCPG","Glycolysis / Gluconeogenesis","ALDH1B1"
"240","PCPG","Glycolysis / Gluconeogenesis","ALDH7A1"
"241","PCPG","Glycolysis / Gluconeogenesis","ALDH9A1"
"242","PCPG","Glycolysis / Gluconeogenesis","ALDH3B1"
"243","PCPG","Glycolysis / Gluconeogenesis","ALDH3B2"
"244","OS","Glycolysis / Gluconeogenesis","LDHC"
"245","OS","Glycolysis / Gluconeogenesis","ENO1"
"246","OS","Glycolysis / Gluconeogenesis","ALDOB"
"247","OS","Glycolysis / Gluconeogenesis","PKLR"
"248","COADREAD","Glycolysis / Gluconeogenesis","PGK1"
"249","OS","Glycolysis / Gluconeogenesis","GAPDH"
"250","COADREAD","Glycolysis / Gluconeogenesis","PGAM2"
"251","OS","Glycolysis / Gluconeogenesis","DLAT"
"252","OS","Glycolysis / Gluconeogenesis","DLD"
"253","COADREAD","Glycolysis / Gluconeogenesis","ENO2"
"254","COADREAD","Glycolysis / Gluconeogenesis","ENO1"
"255","PCPG","Glycolysis / Gluconeogenesis","ADPGK"
"256","OS","Glycolysis / Gluconeogenesis","LDHB"
"257","COADREAD","Glycolysis / Gluconeogenesis","ALDOA"
"258","PCPG","Glycolysis / Gluconeogenesis","MINPP1"
"259","COADREAD","Glycolysis / Gluconeogenesis","PDHB"
"260","OS","Glycolysis / Gluconeogenesis","TPI1"
"261","OS","Glycolysis / Gluconeogenesis","PKM"
"262","PCPG","Glycolysis / Gluconeogenesis","BPGM"
"263","OS","Glycolysis / Gluconeogenesis","GAPDHS"
"264","COADREAD","Glycolysis / Gluconeogenesis","PGAM4"
"265","OS","Glycolysis / Gluconeogenesis","PGK1"
"266","OS","Glycolysis / Gluconeogenesis","ENO4"
"267","COADREAD","Glycolysis / Gluconeogenesis","DLAT"
"268","OS","Glycolysis / Gluconeogenesis","PGK2"
"269","PCPG","Ascorbate and aldarate metabolism","UGT2B17"
"270","PCPG","Ascorbate and aldarate metabolism","UGDH"
"271","PCPG","Ascorbate and aldarate metabolism","UGT2A1"
"272","PCPG","Ascorbate and aldarate metabolism","UGT2A3"
"273","PCPG","Ascorbate and aldarate metabolism","UGT1A3"
"274","PCPG","Ascorbate and aldarate metabolism","UGT2B10"
"275","PCPG","Ascorbate and aldarate metabolism","UGT1A9"
"276","PCPG","Ascorbate and aldarate metabolism","UGT1A1"
"277","PCPG","Ascorbate and aldarate metabolism","UGT1A10"
"278","PCPG","Ascorbate and aldarate metabolism","UGT1A8"
"279","PCPG","Ascorbate and aldarate metabolism","UGT2B11"
"280","PCPG","Ascorbate and aldarate metabolism","UGT2B7"
"281","PCPG","Ascorbate and aldarate metabolism","UGT2B4"
"282","PCPG","Ascorbate and aldarate metabolism","UGT2A2"
"283","PCPG","Ascorbate and aldarate metabolism","GUSB"
"284","PCPG","Ascorbate and aldarate metabolism","KL"
"285","PCPG","Ascorbate and aldarate metabolism","MIOX"
"286","PCPG","Ascorbate and aldarate metabolism","AKR1A1"
"287","PCPG","Ascorbate and aldarate metabolism","RGN"
"288","PCPG","Ascorbate and aldarate metabolism","ALDH2"
"289","PCPG","Ascorbate and aldarate metabolism","ALDH1B1"
"290","PCPG","Ascorbate and aldarate metabolism","ALDH7A1"
"291","PCPG","Ascorbate and aldarate metabolism","UGT2B28"
"292","PCPG","Ascorbate and aldarate metabolism","UGT1A6"
"293","PCPG","Ascorbate and aldarate metabolism","UGT1A4"
"294","PCPG","Ascorbate and aldarate metabolism","UGT1A7"
"295","PCPG","Ascorbate and aldarate metabolism","ALDH9A1"
"296","PCPG","Ascorbate and aldarate metabolism","UGT1A5"
"297","PCPG","Ascorbate and aldarate metabolism","ALDH3A2"
"298","PCPG","Ascorbate and aldarate metabolism","UGT2B15"
"299","PRAD","Fatty acid degradation","ACADSB"
"300","PRAD","Fatty acid degradation","HADHA"
"301","PRAD","Fatty acid degradation","HADH"
"302","PRAD","Fatty acid degradation","ACOX1"
"303","PRAD","Fatty acid degradation","EHHADH"
"304","PRAD","Fatty acid degradation","ECHS1"
"305","PRAD","Fatty acid degradation","ACOX3"
"306","PRAD","Fatty acid degradation","ALDH9A1"
"307","PRAD","Fatty acid degradation","ACADS"
"308","PRAD","Fatty acid degradation","ACADM"
"309","PRAD","Fatty acid degradation","ACADL"
"310","PRAD","Fatty acid degradation","HADHB"
"311","PRAD","Fatty acid degradation","ACSL4"
"312","PRAD","Fatty acid degradation","ACSL1"
"313","PRAD","Fatty acid degradation","ACSL5"
"314","PRAD","Fatty acid degradation","ACSL3"
"315","PRAD","Fatty acid degradation","ACSBG1"
"316","PRAD","Fatty acid degradation","ACSBG2"
"317","PRAD","Fatty acid degradation","CPT1A"
"318","PRAD","Fatty acid degradation","CPT1B"
"319","PRAD","Fatty acid degradation","CPT1C"
"320","PRAD","Fatty acid degradation","ACAT1"
"321","PRAD","Fatty acid degradation","ACAA1"
"322","PRAD","Fatty acid degradation","ACAA2"
"323","PRAD","Fatty acid degradation","ACSL6"
"324","PRAD","Fatty acid degradation","ADH1C"
"325","PRAD","Fatty acid degradation","ADH7"
"326","PRAD","Fatty acid degradation","ADH4"
"327","PRAD","Fatty acid degradation","ADH5"
"328","PRAD","Fatty acid degradation","ADH6"
"329","PRAD","Fatty acid degradation","ALDH2"
"330","PRAD","Fatty acid degradation","ALDH3A2"
"331","PRAD","Fatty acid degradation","ALDH1B1"
"332","PRAD","Fatty acid degradation","ALDH7A1"
"333","PRAD","Fatty acid degradation","ACAT2"
"334","PRAD","Fatty acid degradation","ACADVL"
"335","PRAD","Fatty acid degradation","GCDH"
"336","PRAD","Fatty acid degradation","ADH1B"
"337","PRAD","Fatty acid degradation","CYP2U1"
"338","PRAD","Fatty acid degradation","ADH1A"
"339","PRAD","Fatty acid degradation","CPT2"
"340","PRAD","Fatty acid degradation","ECI1"
"341","PRAD","Fatty acid degradation","ECI2"
"342","ESCA","Primary bile acid biosynthesis","HSD17B4"
"343","PRAD","Primary bile acid biosynthesis","CYP46A1"
"344","PRAD","Primary bile acid biosynthesis","CYP39A1"
"345","ESCA","Primary bile acid biosynthesis","ACOX2"
"346","ESCA","Primary bile acid biosynthesis","AMACR"
"347","ESCA","Primary bile acid biosynthesis","BAAT"
"348","ESCA","Primary bile acid biosynthesis","CYP8B1"
"349","PRAD","Primary bile acid biosynthesis","ACOT8"
"350","ESCA","Primary bile acid biosynthesis","SCP2"
"351","ESCA","Primary bile acid biosynthesis","SLC27A5"
"352","PRAD","Primary bile acid biosynthesis","SCP2"
"353","ESCA","Primary bile acid biosynthesis","CH25H"
"354","PRAD","Primary bile acid biosynthesis","AMACR"
"355","ESCA","Primary bile acid biosynthesis","ACOT8"
"356","ESCA","Primary bile acid biosynthesis","HSD3B7"
"357","ESCA","Primary bile acid biosynthesis","CYP27A1"
"358","PRAD","Primary bile acid biosynthesis","CH25H"
"359","ESCA","Primary bile acid biosynthesis","AKR1D1"
"360","ESCA","Primary bile acid biosynthesis","AKR1C4"
"361","ESCA","Primary bile acid biosynthesis","CYP46A1"
"362","PRAD","Primary bile acid biosynthesis","SLC27A5"
"363","PRAD","Primary bile acid biosynthesis","BAAT"
"364","ESCA","Primary bile acid biosynthesis","CYP39A1"
"365","PRAD","Primary bile acid biosynthesis","HSD17B4"
"366","ESCA","Primary bile acid biosynthesis","CYP7A1"
"367","PRAD","Primary bile acid biosynthesis","AKR1D1"
"368","PRAD","Primary bile acid biosynthesis","ACOX2"
"369","PRAD","Primary bile acid biosynthesis","HSD3B7"
"370","PRAD","Primary bile acid biosynthesis","CYP7B1"
"371","PRAD","Primary bile acid biosynthesis","CYP8B1"
"372","PRAD","Primary bile acid biosynthesis","CYP27A1"
"373","ESCA","Primary bile acid biosynthesis","CYP7B1"
"374","PRAD","Primary bile acid biosynthesis","CYP7A1"
"375","PRAD","Primary bile acid biosynthesis","AKR1C4"
"376","ANSC","Oxidative phosphorylation","ND5"
"377","VULVA","Oxidative phosphorylation","NDUFS3"
"378","VULVA","Oxidative phosphorylation","NDUFS4"
"379","ANSC","Oxidative phosphorylation","ND6"
"380","BRCA","Oxidative phosphorylation","ND3"
"381","MBL","Oxidative phosphorylation","NDUFC1"
"382","BRCA","Oxidative phosphorylation","ND4"
"383","ANSC","Oxidative phosphorylation","ND4L"
"384","CGCI-BLGSP","Oxidative phosphorylation","COX6A2"
"385","CGCI-BLGSP","Oxidative phosphorylation","COX5B"
"386","BRCA","Oxidative phosphorylation","ND4L"
"387","ANSC","Oxidative phosphorylation","ATP6V0C"
"388","BRCA","Oxidative phosphorylation","ND5"
"389","CHOL","Oxidative phosphorylation","COX7A2"
"390","ANSC","Oxidative phosphorylation","ND3"
"391","ANSC","Oxidative phosphorylation","ATP4A"
"392","BRCA","Oxidative phosphorylation","ND1"
"393","MBL","Oxidative phosphorylation","NDUFB9"
"394","ANSC","Oxidative phosphorylation","ND4"
"395","MBL","Oxidative phosphorylation","NDUFB10"
"396","CGCI-BLGSP","Oxidative phosphorylation","CYC1"
"397","ANSC","Oxidative phosphorylation","ATP6V0B"
"398","VULVA","Oxidative phosphorylation","NDUFV1"
"399","CHOL","Oxidative phosphorylation","COX7A1"
"400","VULVA","Oxidative phosphorylation","NDUFV2"
"401","CHOL","Oxidative phosphorylation","COX7A2L"
"402","MBL","Oxidative phosphorylation","NDUFB6"
"403","BRCA","Oxidative phosphorylation","ND2"
"404","LAML","Oxidative phosphorylation","PPA2"
"405","ANSC","Oxidative phosphorylation","ATP6AP1"
"406","NBL","Oxidative phosphorylation","ATP12A"
"407","MBL","Oxidative phosphorylation","NDUFB8"
"408","PANCAN","Oxidative phosphorylation","ATP5PF"
"409","CGCI-BLGSP","Oxidative phosphorylation","COX6B1"
"410","MBL","Oxidative phosphorylation","NDUFC2"
"411","VULVA","Oxidative phosphorylation","NDUFS5"
"412","CHOL","Oxidative phosphorylation","COX6C"
"413","ANSC","Oxidative phosphorylation","ATP6V0E1"
"414","ANSC","Oxidative phosphorylation","ATP6V0E2"
"415","LAML","Oxidative phosphorylation","ATP4B"
"416","MBL","Oxidative phosphorylation","NDUFB7"
"417","KIRP","Oxidative phosphorylation","ATP6V0E2"
"418","NBL","Oxidative phosphorylation","ATP4B"
"419","ANSC","Oxidative phosphorylation","ND1"
"420","ANSC","Oxidative phosphorylation","ND2"
"421","ANSC","Oxidative phosphorylation","ATP6V0A1"
"422","VULVA","Oxidative phosphorylation","ND6"
"423","CLLSLL","Oxidative phosphorylation","ND3"
"424","MBL","Oxidative phosphorylation","NDUFC2-KCTD14"
"425","BRCA","Oxidative phosphorylation","ND6"
"426","ANSC","Oxidative phosphorylation","ATP6V0D2"
"427","MBL","Oxidative phosphorylation","NDUFB5"
"428","ANSC","Oxidative phosphorylation","ATP6V1FP2"
"429","LAML","Oxidative phosphorylation","ATP12A"
"430","NBL","Oxidative phosphorylation","ATP4A"
"431","ANSC","Oxidative phosphorylation","ATP6V1H"
"432","CLLSLL","Oxidative phosphorylation","ATP5F1C"
"433","CLLSLL","Oxidative phosphorylation","ATP5F1D"
"434","CLLSLL","Oxidative phosphorylation","ATP5F1E"
"435","NBL","Oxidative phosphorylation","PPA1"
"436","NBL","Oxidative phosphorylation","LHPP"
"437","VULVA","Oxidative phosphorylation","NDUFS1"
"438","ANSC","Oxidative phosphorylation","ATP6V0D1"
"439","VULVA","Oxidative phosphorylation","NDUFS6"
"440","MBL","Oxidative phosphorylation","NDUFB4"
"441","LAML","Oxidative phosphorylation","ATP4A"
"442","NBL","Oxidative phosphorylation","ATP6AP1"
"443","ANSC","Oxidative phosphorylation","ATP6V1G1"
"444","CLLSLL","Oxidative phosphorylation","ATP5F1B"
"445","ANSC","Oxidative phosphorylation","ATP8"
"446","CESC","Oxidative phosphorylation","NDUFS2"
"447","CESC","Oxidative phosphorylation","NDUFS3"
"448","KIRP","Oxidative phosphorylation","ATP6V1F"
"449","CGCI-BLGSP","Oxidative phosphorylation","COX6A1"
"450","MBL","Oxidative phosphorylation","NDUFB11"
"451","DLBC","Oxidative phosphorylation","ATP6V1A"
"452","MBL","Oxidative phosphorylation","SDHA"
"453","VULVA","Oxidative phosphorylation","NDUFS8"
"454","CHOL","Oxidative phosphorylation","COX6B2"
"455","PANCAN","Oxidative phosphorylation","ATP6V1D"
"456","CLLSLL","Oxidative phosphorylation","ATP5F1A"
"457","PANCAN","Oxidative phosphorylation","ATP5MGL"
"458","KIRP","Oxidative phosphorylation","ATP6V0C"
"459","ANSC","Oxidative phosphorylation","ATP6V0A2"
"460","ANSC","Oxidative phosphorylation","ATP6V0A4"
"461","VULVA","Oxidative phosphorylation","ND5"
"462","CLLSLL","Oxidative phosphorylation","ND2"
"463","VULVA","Oxidative phosphorylation","ND4L"
"464","CHOL","Oxidative phosphorylation","COX4I2"
"465","VULVA","Oxidative phosphorylation","NDUFS2"
"466","BRCA","Oxidative phosphorylation","NDUFS1"
"467","PANCAN","Oxidative phosphorylation","ATP6"
"468","NBL","Oxidative phosphorylation","ATP6V0E2"
